date,How to delete my gmail,how to delete a google account
2011-01-01,32,29
2011-02-01,37,29
2011-03-01,34,29
2011-04-01,48,30
2011-05-01,41,39
2011-06-01,45,49
2011-07-01,57,55
2011-08-01,46,48
2011-09-01,50,57
2011-10-01,49,52
2011-11-01,58,52
2011-12-01,63,53
2012-01-01,63,55
2012-02-01,49,46
2012-03-01,54,40
2012-04-01,51,47
2012-05-01,55,44
2012-06-01,55,48
2012-07-01,61,56
2012-08-01,70,66
2012-09-01,67,55
2012-10-01,61,44
2012-11-01,63,47
2012-12-01,62,50
2013-01-01,72,62
2013-02-01,67,57
2013-03-01,73,53
2013-04-01,70,54
2013-05-01,69,65
2013-06-01,70,69
2013-07-01,74,80
2013-08-01,83,83
2013-09-01,80,71
2013-10-01,83,75
2013-11-01,76,69
2013-12-01,89,87
2014-01-01,98,91
2014-02-01,100,86
2014-03-01,99,82
2014-04-01,91,77
2014-05-01,83,80
2014-06-01,72,77
2014-07-01,91,96
2014-08-01,97,94
2014-09-01,87,80
2014-10-01,84,81
2014-11-01,88,77
2014-12-01,83,77
2015-01-01,81,76
2015-02-01,78,77
2015-03-01,76,70
2015-04-01,79,71
2015-05-01,74,74
2015-06-01,81,84
2015-07-01,92,83
2015-08-01,84,87
2015-09-01,86,76
2015-10-01,80,77
2015-11-01,80,73
2015-12-01,80,75
2016-01-01,94,93
2016-02-01,83,79
2016-03-01,81,72
2016-04-01,81,75
2016-05-01,82,72
2016-06-01,88,77
2016-07-01,99,100
2016-08-01,94,95
2016-09-01,92,86
2016-10-01,86,86
2016-11-01,87,81
2016-12-01,97,91
2017-01-01,99,95
