date,how to delete google account,how to delete a google account
2011-01-01,28,8
2011-02-01,27,8
2011-03-01,26,8
2011-04-01,27,8
2011-05-01,33,11
2011-06-01,34,13
2011-07-01,53,15
2011-08-01,45,13
2011-09-01,53,15
2011-10-01,51,14
2011-11-01,49,14
2011-12-01,54,14
2012-01-01,52,15
2012-02-01,46,12
2012-03-01,41,11
2012-04-01,44,13
2012-05-01,41,12
2012-06-01,46,13
2012-07-01,51,15
2012-08-01,50,18
2012-09-01,47,15
2012-10-01,48,12
2012-11-01,45,13
2012-12-01,56,14
2013-01-01,53,17
2013-02-01,59,15
2013-03-01,56,14
2013-04-01,57,15
2013-05-01,61,18
2013-06-01,67,19
2013-07-01,70,22
2013-08-01,74,23
2013-09-01,68,19
2013-10-01,68,20
2013-11-01,72,19
2013-12-01,80,24
2014-01-01,82,25
2014-02-01,78,23
2014-03-01,75,22
2014-04-01,73,21
2014-05-01,72,22
2014-06-01,74,21
2014-07-01,86,26
2014-08-01,86,25
2014-09-01,78,22
2014-10-01,76,22
2014-11-01,75,21
2014-12-01,78,21
2015-01-01,76,21
2015-02-01,72,21
2015-03-01,74,19
2015-04-01,71,19
2015-05-01,71,20
2015-06-01,79,23
2015-07-01,81,22
2015-08-01,87,24
2015-09-01,76,21
2015-10-01,71,21
2015-11-01,72,20
2015-12-01,78,20
2016-01-01,85,25
2016-02-01,75,21
2016-03-01,77,19
2016-04-01,74,20
2016-05-01,74,20
2016-06-01,79,21
2016-07-01,100,27
2016-08-01,94,26
2016-09-01,86,23
2016-10-01,88,23
2016-11-01,83,22
2016-12-01,92,25
2017-01-01,93,26
