date,how do i delete a google account,how to delete a google account
2011-01-01,4,25
2011-02-01,4,26
2011-03-01,5,33
2011-04-01,5,26
2011-05-01,5,36
2011-06-01,8,43
2011-07-01,13,58
2011-08-01,7,46
2011-09-01,8,50
2011-10-01,8,53
2011-11-01,7,47
2011-12-01,8,55
2012-01-01,11,52
2012-02-01,8,44
2012-03-01,8,45
2012-04-01,7,49
2012-05-01,8,46
2012-06-01,9,47
2012-07-01,10,55
2012-08-01,7,65
2012-09-01,11,49
2012-10-01,8,43
2012-11-01,8,48
2012-12-01,6,54
2013-01-01,10,58
2013-02-01,11,58
2013-03-01,10,57
2013-04-01,9,62
2013-05-01,10,64
2013-06-01,10,72
2013-07-01,10,75
2013-08-01,12,82
2013-09-01,12,68
2013-10-01,15,75
2013-11-01,14,73
2013-12-01,15,83
2014-01-01,18,92
2014-02-01,16,86
2014-03-01,14,82
2014-04-01,14,82
2014-05-01,16,83
2014-06-01,10,77
2014-07-01,11,91
2014-08-01,13,92
2014-09-01,14,81
2014-10-01,12,78
2014-11-01,11,77
2014-12-01,10,74
2015-01-01,13,74
2015-02-01,11,67
2015-03-01,11,73
2015-04-01,11,71
2015-05-01,10,71
2015-06-01,13,76
2015-07-01,12,84
2015-08-01,13,88
2015-09-01,12,77
2015-10-01,11,75
2015-11-01,10,75
2015-12-01,15,76
2016-01-01,16,85
2016-02-01,14,83
2016-03-01,11,72
2016-04-01,12,71
2016-05-01,11,76
2016-06-01,12,80
2016-07-01,14,100
2016-08-01,15,100
2016-09-01,12,79
2016-10-01,13,85
2016-11-01,14,75
2016-12-01,14,94
2017-01-01,16,92
