date,google accounts,how to delete a google account
2011-01-01,76,3
2011-02-01,76,2
2011-03-01,73,2
2011-04-01,75,2
2011-05-01,73,3
2011-06-01,74,3
2011-07-01,87,4
2011-08-01,73,4
2011-09-01,72,4
2011-10-01,74,4
2011-11-01,71,4
2011-12-01,69,4
2012-01-01,71,5
2012-02-01,65,3
2012-03-01,66,3
2012-04-01,65,3
2012-05-01,63,3
2012-06-01,64,4
2012-07-01,68,4
2012-08-01,70,5
2012-09-01,69,4
2012-10-01,67,3
2012-11-01,63,4
2012-12-01,69,4
2013-01-01,70,5
2013-02-01,72,4
2013-03-01,70,4
2013-04-01,73,5
2013-05-01,71,5
2013-06-01,71,5
2013-07-01,75,6
2013-08-01,79,6
2013-09-01,79,5
2013-10-01,84,6
2013-11-01,88,6
2013-12-01,91,6
2014-01-01,95,7
2014-02-01,92,7
2014-03-01,93,6
2014-04-01,88,6
2014-05-01,87,6
2014-06-01,89,6
2014-07-01,88,7
2014-08-01,92,7
2014-09-01,97,6
2014-10-01,94,6
2014-11-01,93,6
2014-12-01,94,6
2015-01-01,94,6
2015-02-01,91,5
2015-03-01,96,5
2015-04-01,94,5
2015-05-01,97,6
2015-06-01,95,6
2015-07-01,90,6
2015-08-01,93,6
2015-09-01,100,6
2015-10-01,92,6
2015-11-01,85,6
2015-12-01,88,6
2016-01-01,91,7
2016-02-01,91,6
2016-03-01,85,5
2016-04-01,83,6
2016-05-01,89,6
2016-06-01,85,6
2016-07-01,91,7
2016-08-01,94,7
2016-09-01,94,6
2016-10-01,91,6
2016-11-01,89,6
2016-12-01,89,7
2017-01-01,90,7
