date,google security manager,how to delete a google account
2011-01-01,10,31
2011-02-01,7,26
2011-03-01,8,28
2011-04-01,10,31
2011-05-01,8,37
2011-06-01,10,43
2011-07-01,10,49
2011-08-01,14,44
2011-09-01,8,58
2011-10-01,8,50
2011-11-01,13,46
2011-12-01,17,50
2012-01-01,11,62
2012-02-01,8,42
2012-03-01,9,41
2012-04-01,10,44
2012-05-01,10,45
2012-06-01,13,48
2012-07-01,10,58
2012-08-01,10,64
2012-09-01,14,55
2012-10-01,13,45
2012-11-01,13,48
2012-12-01,11,58
2013-01-01,11,56
2013-02-01,14,61
2013-03-01,13,54
2013-04-01,13,60
2013-05-01,8,65
2013-06-01,16,67
2013-07-01,13,80
2013-08-01,17,72
2013-09-01,13,72
2013-10-01,17,71
2013-11-01,13,79
2013-12-01,14,83
2014-01-01,15,87
2014-02-01,16,90
2014-03-01,15,86
2014-04-01,17,81
2014-05-01,11,81
2014-06-01,14,82
2014-07-01,13,90
2014-08-01,12,89
2014-09-01,13,80
2014-10-01,10,73
2014-11-01,11,79
2014-12-01,15,82
2015-01-01,14,75
2015-02-01,13,67
2015-03-01,14,68
2015-04-01,16,70
2015-05-01,12,69
2015-06-01,14,76
2015-07-01,15,79
2015-08-01,13,86
2015-09-01,15,80
2015-10-01,14,76
2015-11-01,15,75
2015-12-01,15,77
2016-01-01,18,95
2016-02-01,17,75
2016-03-01,14,74
2016-04-01,15,77
2016-05-01,13,78
2016-06-01,15,74
2016-07-01,13,100
2016-08-01,17,94
2016-09-01,14,83
2016-10-01,14,87
2016-11-01,14,76
2016-12-01,16,96
2017-01-01,13,93
