date,delete account facebook,how to delete a google account
2011-01-01,86,2
2011-02-01,68,1
2011-03-01,51,1
2011-04-01,56,2
2011-05-01,56,2
2011-06-01,63,2
2011-07-01,67,3
2011-08-01,87,2
2011-09-01,90,3
2011-10-01,90,3
2011-11-01,100,3
2011-12-01,99,3
2012-01-01,99,3
2012-02-01,100,2
2012-03-01,97,2
2012-04-01,80,2
2012-05-01,81,2
2012-06-01,77,2
2012-07-01,75,3
2012-08-01,72,3
2012-09-01,70,3
2012-10-01,68,2
2012-11-01,67,2
2012-12-01,72,3
2013-01-01,67,3
2013-02-01,69,3
2013-03-01,69,3
2013-04-01,63,3
2013-05-01,59,3
2013-06-01,60,3
2013-07-01,69,4
2013-08-01,67,4
2013-09-01,56,3
2013-10-01,56,4
2013-11-01,60,4
2013-12-01,67,4
2014-01-01,62,4
2014-02-01,56,4
2014-03-01,57,4
2014-04-01,64,4
2014-05-01,63,4
2014-06-01,62,4
2014-07-01,62,4
2014-08-01,66,4
2014-09-01,62,4
2014-10-01,60,4
2014-11-01,58,4
2014-12-01,62,4
2015-01-01,63,4
2015-02-01,60,3
2015-03-01,59,3
2015-04-01,60,3
2015-05-01,59,4
2015-06-01,61,4
2015-07-01,66,4
2015-08-01,67,4
2015-09-01,62,4
2015-10-01,56,4
2015-11-01,55,4
2015-12-01,57,4
2016-01-01,65,5
2016-02-01,63,4
2016-03-01,59,4
2016-04-01,59,4
2016-05-01,59,4
2016-06-01,75,4
2016-07-01,78,5
2016-08-01,66,5
2016-09-01,67,4
2016-10-01,72,4
2016-11-01,82,4
2016-12-01,72,5
2017-01-01,73,5
