date,Hide Gmail,Gmail privacy
2011-01-01,80,30
2011-02-01,73,25
2011-03-01,71,35
2011-04-01,81,28
2011-05-01,71,28
2011-06-01,78,28
2011-07-01,85,25
2011-08-01,84,29
2011-09-01,76,26
2011-10-01,81,27
2011-11-01,99,31
2011-12-01,79,24
2012-01-01,75,49
2012-02-01,62,68
2012-03-01,67,58
2012-04-01,78,30
2012-05-01,74,31
2012-06-01,71,27
2012-07-01,72,24
2012-08-01,84,27
2012-09-01,78,33
2012-10-01,82,30
2012-11-01,88,34
2012-12-01,79,30
2013-01-01,84,30
2013-02-01,83,38
2013-03-01,85,33
2013-04-01,89,39
2013-05-01,93,34
2013-06-01,79,40
2013-07-01,81,35
2013-08-01,79,83
2013-09-01,95,38
2013-10-01,95,47
2013-11-01,93,44
2013-12-01,90,41
2014-01-01,100,46
2014-02-01,94,43
2014-03-01,96,39
2014-04-01,95,38
2014-05-01,87,39
2014-06-01,83,34
2014-07-01,82,31
2014-08-01,79,38
2014-09-01,97,41
2014-10-01,92,43
2014-11-01,92,40
2014-12-01,86,35
2015-01-01,86,34
2015-02-01,90,41
2015-03-01,75,39
2015-04-01,84,35
2015-05-01,77,32
2015-06-01,77,42
2015-07-01,88,41
2015-08-01,99,42
2015-09-01,93,38
2015-10-01,90,39
2015-11-01,91,41
2015-12-01,91,37
2016-01-01,99,35
2016-02-01,95,41
2016-03-01,89,40
2016-04-01,90,41
2016-05-01,91,42
2016-06-01,84,39
2016-07-01,87,43
2016-08-01,96,38
2016-09-01,100,45
2016-10-01,96,41
2016-11-01,90,40
2016-12-01,83,33
2017-01-01,94,40
