date,whatsapp security risk,whatsapp security settings
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,14,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,12,0
2011-11-01,12,0
2011-12-01,11,0
2012-01-01,11,0
2012-02-01,12,0
2012-03-01,11,0
2012-04-01,11,0
2012-05-01,11,11
2012-06-01,11,11
2012-07-01,11,11
2012-08-01,10,11
2012-09-01,11,11
2012-10-01,19,19
2012-11-01,19,10
2012-12-01,19,10
2013-01-01,18,10
2013-02-01,8,10
2013-03-01,8,13
2013-04-01,8,27
2013-05-01,8,9
2013-06-01,9,13
2013-07-01,9,17
2013-08-01,9,13
2013-09-01,8,17
2013-10-01,8,8
2013-11-01,8,8
2013-12-01,8,12
2014-01-01,8,19
2014-02-01,8,33
2014-03-01,16,7
2014-04-01,23,12
2014-05-01,17,35
2014-06-01,17,22
2014-07-01,17,30
2014-08-01,21,17
2014-09-01,16,12
2014-10-01,15,12
2014-11-01,8,8
2014-12-01,7,15
2015-01-01,7,18
2015-02-01,23,24
2015-03-01,21,29
2015-04-01,7,15
2015-05-01,7,18
2015-06-01,7,29
2015-07-01,7,22
2015-08-01,11,14
2015-09-01,14,28
2015-10-01,7,10
2015-11-01,10,10
2015-12-01,7,14
2016-01-01,19,29
2016-02-01,16,42
2016-03-01,6,15
2016-04-01,9,100
2016-05-01,6,15
2016-06-01,9,38
2016-07-01,9,25
2016-08-01,15,34
2016-09-01,12,55
2016-10-01,6,32
2016-11-01,15,26
2016-12-01,23,29
2017-01-01,14,36
