date,whatsapp security issues,whatsapp security settings
2011-01-01,13,0
2011-02-01,13,0
2011-03-01,12,0
2011-04-01,12,0
2011-05-01,12,0
2011-06-01,11,0
2011-07-01,11,0
2011-08-01,11,0
2011-09-01,11,0
2011-10-01,11,0
2011-11-01,11,0
2011-12-01,11,0
2012-01-01,10,0
2012-02-01,10,0
2012-03-01,9,9
2012-04-01,10,9
2012-05-01,9,9
2012-06-01,9,12
2012-07-01,9,15
2012-08-01,22,19
2012-09-01,15,9
2012-10-01,11,17
2012-11-01,14,8
2012-12-01,25,8
2013-01-01,18,8
2013-02-01,11,8
2013-03-01,17,10
2013-04-01,13,15
2013-05-01,7,7
2013-06-01,20,10
2013-07-01,23,15
2013-08-01,25,12
2013-09-01,24,11
2013-10-01,19,7
2013-11-01,19,14
2013-12-01,29,10
2014-01-01,37,13
2014-02-01,31,22
2014-03-01,39,13
2014-04-01,29,13
2014-05-01,25,32
2014-06-01,15,20
2014-07-01,7,20
2014-08-01,10,18
2014-09-01,19,12
2014-10-01,23,16
2014-11-01,24,10
2014-12-01,22,11
2015-01-01,15,16
2015-02-01,20,24
2015-03-01,27,29
2015-04-01,22,19
2015-05-01,19,12
2015-06-01,23,19
2015-07-01,31,17
2015-08-01,16,9
2015-09-01,24,27
2015-10-01,31,9
2015-11-01,20,14
2015-12-01,20,16
2016-01-01,24,28
2016-02-01,17,32
2016-03-01,14,14
2016-04-01,49,100
2016-05-01,14,19
2016-06-01,22,33
2016-07-01,20,26
2016-08-01,30,29
2016-09-01,34,52
2016-10-01,47,29
2016-11-01,17,34
2016-12-01,8,24
2017-01-01,24,31
