date,twitter account create,how to delete a twitter account
2011-01-01,34,6
2011-02-01,36,7
2011-03-01,37,10
2011-04-01,45,7
2011-05-01,48,12
2011-06-01,62,12
2011-07-01,61,18
2011-08-01,52,15
2011-09-01,53,13
2011-10-01,52,17
2011-11-01,52,20
2011-12-01,51,21
2012-01-01,57,23
2012-02-01,63,21
2012-03-01,65,22
2012-04-01,80,25
2012-05-01,92,23
2012-06-01,79,28
2012-07-01,81,27
2012-08-01,85,38
2012-09-01,75,34
2012-10-01,72,31
2012-11-01,71,30
2012-12-01,75,31
2013-01-01,75,39
2013-02-01,69,43
2013-03-01,72,31
2013-04-01,85,29
2013-05-01,84,33
2013-06-01,87,35
2013-07-01,89,34
2013-08-01,100,31
2013-09-01,88,31
2013-10-01,78,30
2013-11-01,84,29
2013-12-01,81,29
2014-01-01,83,39
2014-02-01,80,43
2014-03-01,84,38
2014-04-01,92,35
2014-05-01,97,32
2014-06-01,88,38
2014-07-01,94,43
2014-08-01,90,39
2014-09-01,86,37
2014-10-01,86,40
2014-11-01,79,36
2014-12-01,85,40
2015-01-01,90,48
2015-02-01,85,38
2015-03-01,82,36
2015-04-01,86,37
2015-05-01,81,42
2015-06-01,85,58
2015-07-01,90,42
2015-08-01,88,38
2015-09-01,93,37
2015-10-01,88,42
2015-11-01,76,41
2015-12-01,78,40
2016-01-01,75,41
2016-02-01,68,31
2016-03-01,69,35
2016-04-01,75,35
2016-05-01,67,37
2016-06-01,70,36
2016-07-01,71,39
2016-08-01,69,39
2016-09-01,74,35
2016-10-01,70,33
2016-11-01,65,33
2016-12-01,70,34
2017-01-01,79,41
