date,twitter download for pc,how to delete a twitter account
2011-01-01,18,10
2011-02-01,21,12
2011-03-01,23,19
2011-04-01,29,14
2011-05-01,27,17
2011-06-01,39,22
2011-07-01,30,31
2011-08-01,35,27
2011-09-01,35,23
2011-10-01,40,27
2011-11-01,36,32
2011-12-01,40,35
2012-01-01,38,39
2012-02-01,34,36
2012-03-01,44,37
2012-04-01,40,42
2012-05-01,43,37
2012-06-01,51,50
2012-07-01,47,46
2012-08-01,48,61
2012-09-01,43,57
2012-10-01,53,56
2012-11-01,47,46
2012-12-01,52,53
2013-01-01,41,66
2013-02-01,47,79
2013-03-01,47,53
2013-04-01,43,52
2013-05-01,56,59
2013-06-01,50,56
2013-07-01,57,55
2013-08-01,53,52
2013-09-01,51,53
2013-10-01,52,48
2013-11-01,54,50
2013-12-01,51,53
2014-01-01,42,65
2014-02-01,41,76
2014-03-01,40,61
2014-04-01,46,60
2014-05-01,45,57
2014-06-01,42,66
2014-07-01,42,72
2014-08-01,46,65
2014-09-01,34,58
2014-10-01,38,66
2014-11-01,33,63
2014-12-01,32,69
2015-01-01,29,82
2015-02-01,29,66
2015-03-01,34,62
2015-04-01,33,62
2015-05-01,29,71
2015-06-01,24,100
2015-07-01,25,74
2015-08-01,24,61
2015-09-01,27,63
2015-10-01,25,72
2015-11-01,21,68
2015-12-01,19,68
2016-01-01,20,68
2016-02-01,19,54
2016-03-01,20,57
2016-04-01,22,58
2016-05-01,16,62
2016-06-01,19,61
2016-07-01,19,65
2016-08-01,20,65
2016-09-01,22,61
2016-10-01,18,56
2016-11-01,18,53
2016-12-01,16,57
2017-01-01,19,68
