date,twitter search people,how to delete a twitter account
2011-01-01,43,9
2011-02-01,38,12
2011-03-01,44,16
2011-04-01,43,11
2011-05-01,43,18
2011-06-01,52,18
2011-07-01,49,29
2011-08-01,53,23
2011-09-01,59,21
2011-10-01,82,26
2011-11-01,68,31
2011-12-01,87,32
2012-01-01,91,37
2012-02-01,100,33
2012-03-01,87,35
2012-04-01,90,40
2012-05-01,83,36
2012-06-01,99,44
2012-07-01,94,42
2012-08-01,89,60
2012-09-01,84,53
2012-10-01,82,49
2012-11-01,75,47
2012-12-01,61,49
2013-01-01,59,62
2013-02-01,72,67
2013-03-01,90,50
2013-04-01,84,45
2013-05-01,77,52
2013-06-01,80,55
2013-07-01,62,54
2013-08-01,67,50
2013-09-01,55,49
2013-10-01,56,47
2013-11-01,54,46
2013-12-01,44,46
2014-01-01,43,61
2014-02-01,41,67
2014-03-01,41,60
2014-04-01,42,56
2014-05-01,41,50
2014-06-01,45,60
2014-07-01,49,68
2014-08-01,63,62
2014-09-01,54,58
2014-10-01,53,63
2014-11-01,51,57
2014-12-01,60,64
2015-01-01,44,76
2015-02-01,35,60
2015-03-01,42,57
2015-04-01,47,58
2015-05-01,48,66
2015-06-01,56,91
2015-07-01,50,66
2015-08-01,54,60
2015-09-01,43,59
2015-10-01,45,67
2015-11-01,42,65
2015-12-01,41,63
2016-01-01,43,65
2016-02-01,36,49
2016-03-01,35,55
2016-04-01,32,56
2016-05-01,31,59
2016-06-01,31,56
2016-07-01,33,61
2016-08-01,29,62
2016-09-01,30,56
2016-10-01,31,52
2016-11-01,28,52
2016-12-01,24,53
2017-01-01,27,65
