date,twitter search history,how to delete a twitter account
2011-01-01,9,10
2011-02-01,9,13
2011-03-01,9,18
2011-04-01,14,12
2011-05-01,9,20
2011-06-01,12,20
2011-07-01,15,32
2011-08-01,15,25
2011-09-01,15,23
2011-10-01,18,29
2011-11-01,15,34
2011-12-01,19,35
2012-01-01,18,40
2012-02-01,17,36
2012-03-01,19,39
2012-04-01,27,43
2012-05-01,38,39
2012-06-01,37,48
2012-07-01,40,46
2012-08-01,46,65
2012-09-01,51,58
2012-10-01,58,54
2012-11-01,62,52
2012-12-01,64,54
2013-01-01,65,68
2013-02-01,42,74
2013-03-01,31,54
2013-04-01,35,50
2013-05-01,30,57
2013-06-01,29,60
2013-07-01,26,59
2013-08-01,25,54
2013-09-01,23,54
2013-10-01,24,51
2013-11-01,21,51
2013-12-01,26,51
2014-01-01,27,67
2014-02-01,25,74
2014-03-01,26,66
2014-04-01,22,61
2014-05-01,20,55
2014-06-01,23,66
2014-07-01,21,74
2014-08-01,22,68
2014-09-01,22,63
2014-10-01,18,69
2014-11-01,22,63
2014-12-01,18,70
2015-01-01,23,83
2015-02-01,23,66
2015-03-01,22,63
2015-04-01,19,63
2015-05-01,17,73
2015-06-01,19,100
2015-07-01,21,73
2015-08-01,20,65
2015-09-01,19,65
2015-10-01,19,73
2015-11-01,18,71
2015-12-01,23,70
2016-01-01,21,71
2016-02-01,22,54
2016-03-01,21,60
2016-04-01,20,61
2016-05-01,18,65
2016-06-01,20,62
2016-07-01,21,67
2016-08-01,19,68
2016-09-01,19,61
2016-10-01,18,57
2016-11-01,18,57
2016-12-01,21,58
2017-01-01,20,71
