date,twitter trending hashtags,how to delete a twitter account
2011-01-01,2,10
2011-02-01,3,13
2011-03-01,3,18
2011-04-01,3,12
2011-05-01,3,20
2011-06-01,4,20
2011-07-01,4,32
2011-08-01,5,25
2011-09-01,4,23
2011-10-01,6,29
2011-11-01,4,34
2011-12-01,2,35
2012-01-01,4,40
2012-02-01,8,36
2012-03-01,5,39
2012-04-01,5,43
2012-05-01,5,39
2012-06-01,4,48
2012-07-01,4,46
2012-08-01,6,65
2012-09-01,5,58
2012-10-01,7,54
2012-11-01,5,52
2012-12-01,5,54
2013-01-01,6,68
2013-02-01,10,74
2013-03-01,6,54
2013-04-01,6,50
2013-05-01,8,57
2013-06-01,8,60
2013-07-01,10,59
2013-08-01,10,54
2013-09-01,8,54
2013-10-01,7,51
2013-11-01,4,51
2013-12-01,10,51
2014-01-01,8,67
2014-02-01,11,74
2014-03-01,13,66
2014-04-01,13,61
2014-05-01,12,55
2014-06-01,11,66
2014-07-01,15,74
2014-08-01,13,68
2014-09-01,13,63
2014-10-01,11,69
2014-11-01,17,63
2014-12-01,19,70
2015-01-01,23,83
2015-02-01,20,66
2015-03-01,16,63
2015-04-01,14,63
2015-05-01,19,73
2015-06-01,18,100
2015-07-01,23,73
2015-08-01,23,65
2015-09-01,40,65
2015-10-01,25,73
2015-11-01,20,71
2015-12-01,19,70
2016-01-01,18,71
2016-02-01,22,54
2016-03-01,20,60
2016-04-01,17,61
2016-05-01,22,65
2016-06-01,18,62
2016-07-01,28,67
2016-08-01,22,68
2016-09-01,19,61
2016-10-01,21,57
2016-11-01,31,57
2016-12-01,19,58
2017-01-01,27,71
