date,how to reactivate twitter,how to delete a twitter account
2011-01-01,3,10
2011-02-01,4,13
2011-03-01,3,18
2011-04-01,5,12
2011-05-01,5,20
2011-06-01,6,20
2011-07-01,6,32
2011-08-01,5,25
2011-09-01,5,23
2011-10-01,5,29
2011-11-01,8,34
2011-12-01,9,35
2012-01-01,9,40
2012-02-01,7,36
2012-03-01,12,39
2012-04-01,12,43
2012-05-01,13,39
2012-06-01,12,48
2012-07-01,13,46
2012-08-01,16,65
2012-09-01,13,58
2012-10-01,13,54
2012-11-01,14,52
2012-12-01,19,54
2013-01-01,21,68
2013-02-01,19,74
2013-03-01,17,54
2013-04-01,18,50
2013-05-01,19,57
2013-06-01,19,60
2013-07-01,22,59
2013-08-01,22,54
2013-09-01,21,54
2013-10-01,13,51
2013-11-01,17,51
2013-12-01,15,51
2014-01-01,15,67
2014-02-01,19,74
2014-03-01,16,66
2014-04-01,15,61
2014-05-01,20,55
2014-06-01,19,66
2014-07-01,18,74
2014-08-01,16,68
2014-09-01,15,63
2014-10-01,16,69
2014-11-01,16,63
2014-12-01,16,70
2015-01-01,18,83
2015-02-01,20,66
2015-03-01,18,63
2015-04-01,20,63
2015-05-01,12,73
2015-06-01,10,100
2015-07-01,11,73
2015-08-01,10,65
2015-09-01,7,65
2015-10-01,7,73
2015-11-01,8,71
2015-12-01,7,70
2016-01-01,5,71
2016-02-01,5,54
2016-03-01,7,60
2016-04-01,7,61
2016-05-01,5,65
2016-06-01,7,62
2016-07-01,7,67
2016-08-01,9,68
2016-09-01,6,61
2016-10-01,7,57
2016-11-01,8,57
2016-12-01,8,58
2017-01-01,6,71
