date,download twitter messenger,how to delete a twitter account
2011-01-01,31,10
2011-02-01,31,13
2011-03-01,28,18
2011-04-01,33,12
2011-05-01,36,20
2011-06-01,29,20
2011-07-01,30,32
2011-08-01,37,25
2011-09-01,32,23
2011-10-01,27,29
2011-11-01,28,34
2011-12-01,31,35
2012-01-01,36,40
2012-02-01,30,36
2012-03-01,30,39
2012-04-01,28,43
2012-05-01,29,39
2012-06-01,34,48
2012-07-01,32,46
2012-08-01,28,65
2012-09-01,24,58
2012-10-01,29,54
2012-11-01,26,52
2012-12-01,28,54
2013-01-01,24,68
2013-02-01,19,74
2013-03-01,23,54
2013-04-01,23,50
2013-05-01,20,57
2013-06-01,20,60
2013-07-01,18,59
2013-08-01,17,54
2013-09-01,17,54
2013-10-01,15,51
2013-11-01,16,51
2013-12-01,13,51
2014-01-01,13,67
2014-02-01,12,74
2014-03-01,12,66
2014-04-01,10,61
2014-05-01,11,55
2014-06-01,10,66
2014-07-01,10,74
2014-08-01,13,68
2014-09-01,12,63
2014-10-01,11,69
2014-11-01,11,63
2014-12-01,11,70
2015-01-01,10,83
2015-02-01,10,66
2015-03-01,7,63
2015-04-01,10,63
2015-05-01,8,73
2015-06-01,10,100
2015-07-01,6,73
2015-08-01,9,65
2015-09-01,9,65
2015-10-01,8,73
2015-11-01,8,71
2015-12-01,7,70
2016-01-01,9,71
2016-02-01,7,54
2016-03-01,8,60
2016-04-01,7,61
2016-05-01,7,65
2016-06-01,7,62
2016-07-01,9,67
2016-08-01,6,68
2016-09-01,8,61
2016-10-01,7,57
2016-11-01,7,57
2016-12-01,8,58
2017-01-01,6,71
