date,twitter download for blackberry,how to delete a twitter account
2011-01-01,40,8
2011-02-01,100,10
2011-03-01,44,14
2011-04-01,38,10
2011-05-01,53,16
2011-06-01,58,16
2011-07-01,52,25
2011-08-01,58,20
2011-09-01,55,18
2011-10-01,54,22
2011-11-01,50,27
2011-12-01,63,28
2012-01-01,63,31
2012-02-01,50,28
2012-03-01,47,30
2012-04-01,59,34
2012-05-01,61,30
2012-06-01,53,37
2012-07-01,71,36
2012-08-01,82,51
2012-09-01,60,45
2012-10-01,51,42
2012-11-01,51,40
2012-12-01,68,42
2013-01-01,57,53
2013-02-01,64,57
2013-03-01,50,42
2013-04-01,44,39
2013-05-01,57,44
2013-06-01,53,47
2013-07-01,48,46
2013-08-01,38,42
2013-09-01,35,42
2013-10-01,46,40
2013-11-01,39,39
2013-12-01,40,39
2014-01-01,61,52
2014-02-01,33,57
2014-03-01,29,51
2014-04-01,28,47
2014-05-01,25,43
2014-06-01,24,51
2014-07-01,22,57
2014-08-01,16,53
2014-09-01,16,49
2014-10-01,14,53
2014-11-01,15,49
2014-12-01,12,54
2015-01-01,8,64
2015-02-01,7,51
2015-03-01,9,49
2015-04-01,11,49
2015-05-01,10,56
2015-06-01,9,78
2015-07-01,9,56
2015-08-01,7,51
2015-09-01,5,50
2015-10-01,5,57
2015-11-01,3,55
2015-12-01,4,54
2016-01-01,4,55
2016-02-01,3,42
2016-03-01,3,47
2016-04-01,3,47
2016-05-01,3,50
2016-06-01,3,48
2016-07-01,1,52
2016-08-01,2,52
2016-09-01,1,47
2016-10-01,1,45
2016-11-01,1,44
2016-12-01,1,45
2017-01-01,1,55
