date,twitter download for windows 7,how to delete a twitter account
2011-01-01,12,10
2011-02-01,16,13
2011-03-01,14,18
2011-04-01,12,12
2011-05-01,14,20
2011-06-01,17,20
2011-07-01,19,32
2011-08-01,18,25
2011-09-01,25,23
2011-10-01,18,29
2011-11-01,22,34
2011-12-01,24,35
2012-01-01,22,40
2012-02-01,22,36
2012-03-01,21,39
2012-04-01,22,43
2012-05-01,22,39
2012-06-01,22,48
2012-07-01,22,46
2012-08-01,24,65
2012-09-01,25,58
2012-10-01,25,54
2012-11-01,23,52
2012-12-01,22,54
2013-01-01,19,68
2013-02-01,23,74
2013-03-01,22,54
2013-04-01,21,50
2013-05-01,23,57
2013-06-01,19,60
2013-07-01,21,59
2013-08-01,21,54
2013-09-01,20,54
2013-10-01,22,51
2013-11-01,25,51
2013-12-01,20,51
2014-01-01,20,67
2014-02-01,23,74
2014-03-01,19,66
2014-04-01,18,61
2014-05-01,17,55
2014-06-01,19,66
2014-07-01,19,74
2014-08-01,18,68
2014-09-01,18,63
2014-10-01,17,69
2014-11-01,15,63
2014-12-01,17,70
2015-01-01,15,83
2015-02-01,16,66
2015-03-01,14,63
2015-04-01,12,63
2015-05-01,13,73
2015-06-01,15,100
2015-07-01,14,73
2015-08-01,13,65
2015-09-01,13,65
2015-10-01,12,73
2015-11-01,8,71
2015-12-01,11,70
2016-01-01,10,71
2016-02-01,8,54
2016-03-01,8,60
2016-04-01,10,61
2016-05-01,8,65
2016-06-01,8,62
2016-07-01,10,67
2016-08-01,9,68
2016-09-01,10,61
2016-10-01,7,57
2016-11-01,8,57
2016-12-01,7,58
2017-01-01,9,71
