date,download twitter for samsung,how to delete a twitter account
2011-01-01,6,10
2011-02-01,7,13
2011-03-01,7,18
2011-04-01,10,12
2011-05-01,8,20
2011-06-01,7,20
2011-07-01,10,32
2011-08-01,13,25
2011-09-01,12,23
2011-10-01,13,29
2011-11-01,14,34
2011-12-01,15,35
2012-01-01,16,40
2012-02-01,13,36
2012-03-01,14,39
2012-04-01,17,43
2012-05-01,17,39
2012-06-01,21,48
2012-07-01,19,46
2012-08-01,22,65
2012-09-01,20,58
2012-10-01,20,54
2012-11-01,20,52
2012-12-01,24,54
2013-01-01,20,68
2013-02-01,21,74
2013-03-01,19,54
2013-04-01,20,50
2013-05-01,19,57
2013-06-01,22,60
2013-07-01,19,59
2013-08-01,22,54
2013-09-01,18,54
2013-10-01,15,51
2013-11-01,18,51
2013-12-01,17,51
2014-01-01,14,67
2014-02-01,12,74
2014-03-01,13,66
2014-04-01,12,61
2014-05-01,13,55
2014-06-01,13,66
2014-07-01,11,74
2014-08-01,9,68
2014-09-01,11,63
2014-10-01,7,69
2014-11-01,6,63
2014-12-01,7,70
2015-01-01,7,83
2015-02-01,6,66
2015-03-01,8,63
2015-04-01,6,63
2015-05-01,5,73
2015-06-01,6,100
2015-07-01,4,73
2015-08-01,6,65
2015-09-01,5,65
2015-10-01,4,73
2015-11-01,4,71
2015-12-01,4,70
2016-01-01,4,71
2016-02-01,3,54
2016-03-01,3,60
2016-04-01,4,61
2016-05-01,2,65
2016-06-01,2,62
2016-07-01,3,67
2016-08-01,3,68
2016-09-01,2,61
2016-10-01,2,57
2016-11-01,2,57
2016-12-01,3,58
2017-01-01,2,71
