date,facebook widget,how to delete a twitter account
2011-01-01,97,2
2011-02-01,93,3
2011-03-01,100,4
2011-04-01,89,3
2011-05-01,89,4
2011-06-01,96,4
2011-07-01,95,6
2011-08-01,90,5
2011-09-01,86,5
2011-10-01,88,6
2011-11-01,83,7
2011-12-01,77,7
2012-01-01,85,8
2012-02-01,82,7
2012-03-01,80,8
2012-04-01,78,9
2012-05-01,77,8
2012-06-01,76,10
2012-07-01,79,9
2012-08-01,72,13
2012-09-01,74,12
2012-10-01,74,11
2012-11-01,68,10
2012-12-01,66,11
2013-01-01,72,14
2013-02-01,74,15
2013-03-01,69,11
2013-04-01,68,10
2013-05-01,65,12
2013-06-01,66,12
2013-07-01,64,12
2013-08-01,60,11
2013-09-01,58,11
2013-10-01,59,10
2013-11-01,59,10
2013-12-01,52,10
2014-01-01,55,13
2014-02-01,56,15
2014-03-01,55,13
2014-04-01,50,12
2014-05-01,47,11
2014-06-01,44,13
2014-07-01,42,15
2014-08-01,43,14
2014-09-01,42,13
2014-10-01,44,14
2014-11-01,41,13
2014-12-01,36,14
2015-01-01,39,17
2015-02-01,38,13
2015-03-01,39,13
2015-04-01,40,13
2015-05-01,36,15
2015-06-01,36,20
2015-07-01,37,15
2015-08-01,36,13
2015-09-01,32,13
2015-10-01,32,15
2015-11-01,29,14
2015-12-01,28,14
2016-01-01,31,14
2016-02-01,66,11
2016-03-01,42,12
2016-04-01,33,12
2016-05-01,29,13
2016-06-01,29,12
2016-07-01,26,13
2016-08-01,26,14
2016-09-01,23,12
2016-10-01,23,12
2016-11-01,24,11
2016-12-01,20,12
2017-01-01,23,14
