date,twitter desktop,how to delete a twitter account
2011-01-01,47,3
2011-02-01,46,4
2011-03-01,50,5
2011-04-01,51,4
2011-05-01,67,6
2011-06-01,73,6
2011-07-01,74,10
2011-08-01,80,8
2011-09-01,75,7
2011-10-01,82,9
2011-11-01,88,11
2011-12-01,85,11
2012-01-01,80,12
2012-02-01,72,11
2012-03-01,70,12
2012-04-01,76,13
2012-05-01,83,12
2012-06-01,97,15
2012-07-01,100,14
2012-08-01,100,20
2012-09-01,82,18
2012-10-01,81,16
2012-11-01,77,16
2012-12-01,75,17
2013-01-01,79,21
2013-02-01,73,23
2013-03-01,82,17
2013-04-01,75,15
2013-05-01,66,18
2013-06-01,69,19
2013-07-01,67,18
2013-08-01,61,17
2013-09-01,60,16
2013-10-01,59,16
2013-11-01,56,15
2013-12-01,56,16
2014-01-01,59,21
2014-02-01,55,23
2014-03-01,52,20
2014-04-01,55,19
2014-05-01,51,17
2014-06-01,53,20
2014-07-01,54,23
2014-08-01,52,21
2014-09-01,54,19
2014-10-01,46,21
2014-11-01,46,19
2014-12-01,46,21
2015-01-01,49,25
2015-02-01,43,20
2015-03-01,46,19
2015-04-01,46,19
2015-05-01,37,22
2015-06-01,40,31
2015-07-01,43,22
2015-08-01,47,20
2015-09-01,42,20
2015-10-01,38,22
2015-11-01,46,22
2015-12-01,41,21
2016-01-01,39,22
2016-02-01,35,16
2016-03-01,34,18
2016-04-01,36,19
2016-05-01,35,20
2016-06-01,37,19
2016-07-01,39,21
2016-08-01,36,21
2016-09-01,34,19
2016-10-01,37,18
2016-11-01,40,17
2016-12-01,34,18
2017-01-01,42,22
