date,how to deactivate snapchat,how to delete a twitter account
2011-01-01,0,10
2011-02-01,0,14
2011-03-01,0,17
2011-04-01,0,11
2011-05-01,0,22
2011-06-01,0,19
2011-07-01,0,31
2011-08-01,0,27
2011-09-01,0,22
2011-10-01,0,28
2011-11-01,0,36
2011-12-01,0,36
2012-01-01,0,45
2012-02-01,0,34
2012-03-01,0,38
2012-04-01,0,42
2012-05-01,0,40
2012-06-01,0,47
2012-07-01,0,47
2012-08-01,0,65
2012-09-01,1,57
2012-10-01,1,52
2012-11-01,3,53
2012-12-01,2,54
2013-01-01,2,67
2013-02-01,1,70
2013-03-01,2,54
2013-04-01,5,47
2013-05-01,6,57
2013-06-01,7,65
2013-07-01,4,58
2013-08-01,8,52
2013-09-01,9,52
2013-10-01,10,52
2013-11-01,7,53
2013-12-01,11,53
2014-01-01,18,68
2014-02-01,15,71
2014-03-01,18,68
2014-04-01,19,59
2014-05-01,22,54
2014-06-01,18,67
2014-07-01,19,71
2014-08-01,21,66
2014-09-01,18,65
2014-10-01,21,70
2014-11-01,23,61
2014-12-01,25,70
2015-01-01,35,83
2015-02-01,28,67
2015-03-01,24,62
2015-04-01,23,67
2015-05-01,21,70
2015-06-01,25,100
2015-07-01,32,71
2015-08-01,25,67
2015-09-01,29,65
2015-10-01,22,74
2015-11-01,32,69
2015-12-01,34,69
2016-01-01,40,70
2016-02-01,36,52
2016-03-01,35,61
2016-04-01,44,62
2016-05-01,50,65
2016-06-01,54,61
2016-07-01,62,66
2016-08-01,51,65
2016-09-01,53,60
2016-10-01,59,61
2016-11-01,61,60
2016-12-01,56,56
2017-01-01,60,76
