date,twitter download,how to delete a twitter account
2011-01-01,61,0
2011-02-01,69,0
2011-03-01,65,1
2011-04-01,69,0
2011-05-01,72,1
2011-06-01,77,1
2011-07-01,82,1
2011-08-01,87,1
2011-09-01,92,1
2011-10-01,90,1
2011-11-01,94,1
2011-12-01,97,1
2012-01-01,94,1
2012-02-01,93,1
2012-03-01,95,1
2012-04-01,94,1
2012-05-01,90,1
2012-06-01,92,2
2012-07-01,98,2
2012-08-01,98,2
2012-09-01,92,2
2012-10-01,92,2
2012-11-01,92,2
2012-12-01,100,2
2013-01-01,91,2
2013-02-01,92,3
2013-03-01,89,2
2013-04-01,92,2
2013-05-01,94,2
2013-06-01,95,2
2013-07-01,96,2
2013-08-01,92,2
2013-09-01,91,2
2013-10-01,88,2
2013-11-01,86,2
2013-12-01,86,2
2014-01-01,82,2
2014-02-01,77,3
2014-03-01,78,2
2014-04-01,75,2
2014-05-01,74,2
2014-06-01,74,2
2014-07-01,72,3
2014-08-01,71,2
2014-09-01,69,2
2014-10-01,67,2
2014-11-01,65,2
2014-12-01,66,2
2015-01-01,61,3
2015-02-01,57,2
2015-03-01,58,2
2015-04-01,59,2
2015-05-01,55,3
2015-06-01,55,3
2015-07-01,55,3
2015-08-01,53,2
2015-09-01,51,2
2015-10-01,50,3
2015-11-01,47,2
2015-12-01,47,2
2016-01-01,47,2
2016-02-01,45,2
2016-03-01,46,2
2016-04-01,46,2
2016-05-01,46,2
2016-06-01,47,2
2016-07-01,50,2
2016-08-01,49,2
2016-09-01,48,2
2016-10-01,46,2
2016-11-01,46,2
2016-12-01,47,2
2017-01-01,47,2
