date,twitter download video,how to delete a twitter account
2011-01-01,17,3
2011-02-01,21,4
2011-03-01,21,6
2011-04-01,25,4
2011-05-01,22,7
2011-06-01,23,7
2011-07-01,26,11
2011-08-01,30,8
2011-09-01,35,8
2011-10-01,31,10
2011-11-01,35,12
2011-12-01,37,12
2012-01-01,32,13
2012-02-01,31,12
2012-03-01,33,13
2012-04-01,30,15
2012-05-01,32,13
2012-06-01,29,16
2012-07-01,30,16
2012-08-01,31,22
2012-09-01,34,20
2012-10-01,30,18
2012-11-01,29,17
2012-12-01,34,18
2013-01-01,30,23
2013-02-01,28,25
2013-03-01,34,18
2013-04-01,33,17
2013-05-01,35,19
2013-06-01,34,20
2013-07-01,35,20
2013-08-01,39,18
2013-09-01,38,18
2013-10-01,38,17
2013-11-01,39,17
2013-12-01,38,17
2014-01-01,35,23
2014-02-01,34,25
2014-03-01,37,22
2014-04-01,40,21
2014-05-01,35,18
2014-06-01,39,22
2014-07-01,36,25
2014-08-01,39,23
2014-09-01,39,21
2014-10-01,38,23
2014-11-01,39,21
2014-12-01,37,24
2015-01-01,35,28
2015-02-01,36,22
2015-03-01,41,21
2015-04-01,39,21
2015-05-01,44,24
2015-06-01,38,34
2015-07-01,44,24
2015-08-01,46,22
2015-09-01,46,22
2015-10-01,53,25
2015-11-01,50,24
2015-12-01,54,23
2016-01-01,56,24
2016-02-01,55,18
2016-03-01,61,20
2016-04-01,63,21
2016-05-01,72,22
2016-06-01,77,21
2016-07-01,90,23
2016-08-01,83,23
2016-09-01,86,21
2016-10-01,86,19
2016-11-01,99,19
2016-12-01,100,20
2017-01-01,100,24
