date,twitter home page,how to delete a twitter account
2011-01-01,20,10
2011-02-01,20,13
2011-03-01,25,18
2011-04-01,26,12
2011-05-01,31,20
2011-06-01,30,20
2011-07-01,26,32
2011-08-01,23,25
2011-09-01,30,23
2011-10-01,31,29
2011-11-01,45,34
2011-12-01,46,35
2012-01-01,40,40
2012-02-01,38,36
2012-03-01,32,39
2012-04-01,34,43
2012-05-01,35,39
2012-06-01,29,48
2012-07-01,34,46
2012-08-01,40,65
2012-09-01,32,58
2012-10-01,35,54
2012-11-01,35,52
2012-12-01,61,54
2013-01-01,76,68
2013-02-01,45,74
2013-03-01,32,54
2013-04-01,33,50
2013-05-01,61,57
2013-06-01,34,60
2013-07-01,33,59
2013-08-01,31,54
2013-09-01,48,54
2013-10-01,40,51
2013-11-01,23,51
2013-12-01,21,51
2014-01-01,27,67
2014-02-01,26,74
2014-03-01,29,66
2014-04-01,21,61
2014-05-01,21,55
2014-06-01,26,66
2014-07-01,20,74
2014-08-01,19,68
2014-09-01,20,63
2014-10-01,16,69
2014-11-01,18,63
2014-12-01,16,70
2015-01-01,16,83
2015-02-01,19,66
2015-03-01,14,63
2015-04-01,16,63
2015-05-01,17,73
2015-06-01,16,100
2015-07-01,18,73
2015-08-01,13,65
2015-09-01,16,65
2015-10-01,14,73
2015-11-01,15,71
2015-12-01,14,70
2016-01-01,14,71
2016-02-01,12,54
2016-03-01,13,60
2016-04-01,11,61
2016-05-01,14,65
2016-06-01,14,62
2016-07-01,12,67
2016-08-01,14,68
2016-09-01,12,61
2016-10-01,10,57
2016-11-01,11,57
2016-12-01,8,58
2017-01-01,10,71
