date,twitter web,how to delete a twitter account
2011-01-01,76,1
2011-02-01,79,2
2011-03-01,86,2
2011-04-01,86,1
2011-05-01,91,2
2011-06-01,90,2
2011-07-01,90,4
2011-08-01,93,3
2011-09-01,100,3
2011-10-01,90,3
2011-11-01,86,4
2011-12-01,82,4
2012-01-01,92,5
2012-02-01,92,4
2012-03-01,87,5
2012-04-01,88,5
2012-05-01,90,5
2012-06-01,93,6
2012-07-01,91,6
2012-08-01,91,8
2012-09-01,97,7
2012-10-01,97,6
2012-11-01,90,6
2012-12-01,93,6
2013-01-01,91,8
2013-02-01,94,9
2013-03-01,92,6
2013-04-01,91,6
2013-05-01,89,7
2013-06-01,87,7
2013-07-01,83,7
2013-08-01,79,6
2013-09-01,81,6
2013-10-01,80,6
2013-11-01,77,6
2013-12-01,71,6
2014-01-01,77,8
2014-02-01,72,9
2014-03-01,74,8
2014-04-01,73,7
2014-05-01,70,7
2014-06-01,69,8
2014-07-01,66,9
2014-08-01,63,8
2014-09-01,100,8
2014-10-01,63,8
2014-11-01,61,7
2014-12-01,57,8
2015-01-01,64,10
2015-02-01,67,8
2015-03-01,65,7
2015-04-01,65,8
2015-05-01,64,9
2015-06-01,63,12
2015-07-01,65,9
2015-08-01,69,8
2015-09-01,76,8
2015-10-01,72,9
2015-11-01,75,8
2015-12-01,72,8
2016-01-01,73,8
2016-02-01,71,6
2016-03-01,73,7
2016-04-01,74,7
2016-05-01,75,8
2016-06-01,74,7
2016-07-01,72,8
2016-08-01,72,8
2016-09-01,81,7
2016-10-01,73,7
2016-11-01,70,7
2016-12-01,67,7
2017-01-01,72,8
