date,account settings twitter,how to delete a twitter account
2011-01-01,7,10
2011-02-01,8,13
2011-03-01,5,18
2011-04-01,12,12
2011-05-01,21,20
2011-06-01,18,20
2011-07-01,21,32
2011-08-01,24,25
2011-09-01,28,23
2011-10-01,36,29
2011-11-01,34,34
2011-12-01,31,35
2012-01-01,24,40
2012-02-01,23,36
2012-03-01,26,39
2012-04-01,22,43
2012-05-01,25,39
2012-06-01,26,48
2012-07-01,27,46
2012-08-01,26,65
2012-09-01,20,58
2012-10-01,17,54
2012-11-01,19,52
2012-12-01,18,54
2013-01-01,17,68
2013-02-01,19,74
2013-03-01,14,54
2013-04-01,17,50
2013-05-01,12,57
2013-06-01,15,60
2013-07-01,16,59
2013-08-01,16,54
2013-09-01,16,54
2013-10-01,11,51
2013-11-01,12,51
2013-12-01,11,51
2014-01-01,14,67
2014-02-01,11,74
2014-03-01,11,66
2014-04-01,13,61
2014-05-01,14,55
2014-06-01,12,66
2014-07-01,11,74
2014-08-01,13,68
2014-09-01,11,63
2014-10-01,14,69
2014-11-01,16,63
2014-12-01,19,70
2015-01-01,20,83
2015-02-01,15,66
2015-03-01,16,63
2015-04-01,19,63
2015-05-01,14,73
2015-06-01,18,100
2015-07-01,22,73
2015-08-01,20,65
2015-09-01,16,65
2015-10-01,14,73
2015-11-01,12,71
2015-12-01,13,70
2016-01-01,11,71
2016-02-01,10,54
2016-03-01,11,60
2016-04-01,11,61
2016-05-01,12,65
2016-06-01,13,62
2016-07-01,18,67
2016-08-01,12,68
2016-09-01,11,61
2016-10-01,14,57
2016-11-01,12,57
2016-12-01,14,58
2017-01-01,20,71
