date,twitter search video,how to delete a twitter account
2011-01-01,10,10
2011-02-01,12,13
2011-03-01,13,18
2011-04-01,8,12
2011-05-01,9,20
2011-06-01,10,20
2011-07-01,9,32
2011-08-01,10,25
2011-09-01,11,23
2011-10-01,19,29
2011-11-01,14,34
2011-12-01,16,35
2012-01-01,14,40
2012-02-01,14,36
2012-03-01,15,39
2012-04-01,18,43
2012-05-01,15,39
2012-06-01,18,48
2012-07-01,13,46
2012-08-01,16,65
2012-09-01,15,58
2012-10-01,16,54
2012-11-01,12,52
2012-12-01,10,54
2013-01-01,16,68
2013-02-01,13,74
2013-03-01,15,54
2013-04-01,14,50
2013-05-01,16,57
2013-06-01,15,60
2013-07-01,13,59
2013-08-01,20,54
2013-09-01,17,54
2013-10-01,14,51
2013-11-01,16,51
2013-12-01,15,51
2014-01-01,15,67
2014-02-01,13,74
2014-03-01,14,66
2014-04-01,12,61
2014-05-01,14,55
2014-06-01,16,66
2014-07-01,18,74
2014-08-01,17,68
2014-09-01,20,63
2014-10-01,16,69
2014-11-01,16,63
2014-12-01,15,70
2015-01-01,15,83
2015-02-01,19,66
2015-03-01,15,63
2015-04-01,18,63
2015-05-01,14,73
2015-06-01,14,100
2015-07-01,14,73
2015-08-01,15,65
2015-09-01,16,65
2015-10-01,11,73
2015-11-01,14,71
2015-12-01,14,70
2016-01-01,16,71
2016-02-01,11,54
2016-03-01,12,60
2016-04-01,13,61
2016-05-01,13,65
2016-06-01,13,62
2016-07-01,13,67
2016-08-01,13,68
2016-09-01,15,61
2016-10-01,13,57
2016-11-01,14,57
2016-12-01,11,58
2017-01-01,12,71
