date,twitter search engine,how to delete a twitter account
2011-01-01,18,10
2011-02-01,27,13
2011-03-01,22,18
2011-04-01,23,12
2011-05-01,33,20
2011-06-01,28,20
2011-07-01,29,32
2011-08-01,29,25
2011-09-01,28,23
2011-10-01,27,29
2011-11-01,26,34
2011-12-01,31,35
2012-01-01,28,40
2012-02-01,32,36
2012-03-01,32,39
2012-04-01,25,43
2012-05-01,29,39
2012-06-01,24,48
2012-07-01,25,46
2012-08-01,25,65
2012-09-01,28,58
2012-10-01,26,54
2012-11-01,23,52
2012-12-01,28,54
2013-01-01,30,68
2013-02-01,26,74
2013-03-01,29,54
2013-04-01,32,50
2013-05-01,24,57
2013-06-01,21,60
2013-07-01,18,59
2013-08-01,22,54
2013-09-01,24,54
2013-10-01,25,51
2013-11-01,21,51
2013-12-01,18,51
2014-01-01,21,67
2014-02-01,17,74
2014-03-01,19,66
2014-04-01,18,61
2014-05-01,19,55
2014-06-01,19,66
2014-07-01,17,74
2014-08-01,16,68
2014-09-01,20,63
2014-10-01,16,69
2014-11-01,18,63
2014-12-01,16,70
2015-01-01,18,83
2015-02-01,18,66
2015-03-01,18,63
2015-04-01,18,63
2015-05-01,17,73
2015-06-01,15,100
2015-07-01,16,73
2015-08-01,14,65
2015-09-01,16,65
2015-10-01,15,73
2015-11-01,16,71
2015-12-01,17,70
2016-01-01,16,71
2016-02-01,15,54
2016-03-01,15,60
2016-04-01,18,61
2016-05-01,13,65
2016-06-01,17,62
2016-07-01,12,67
2016-08-01,15,68
2016-09-01,12,61
2016-10-01,13,57
2016-11-01,14,57
2016-12-01,12,58
2017-01-01,15,71
