date,how to read text messages from another phone without installing software,can someone read my text messages from their phone
2011-01-01,0,23
2011-02-01,0,22
2011-03-01,0,22
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,17
2012-06-01,18,18
2012-07-01,15,0
2012-08-01,15,0
2012-09-01,15,0
2012-10-01,15,0
2012-11-01,16,0
2012-12-01,15,0
2013-01-01,14,0
2013-02-01,14,16
2013-03-01,14,0
2013-04-01,14,0
2013-05-01,14,0
2013-06-01,14,0
2013-07-01,14,0
2013-08-01,14,14
2013-09-01,13,13
2013-10-01,13,13
2013-11-01,13,13
2013-12-01,13,12
2014-01-01,24,12
2014-02-01,27,14
2014-03-01,12,12
2014-04-01,12,13
2014-05-01,13,13
2014-06-01,23,14
2014-07-01,13,14
2014-08-01,27,13
2014-09-01,32,13
2014-10-01,12,13
2014-11-01,13,13
2014-12-01,25,13
2015-01-01,12,12
2015-02-01,13,12
2015-03-01,23,12
2015-04-01,12,12
2015-05-01,11,12
2015-06-01,23,12
2015-07-01,23,12
2015-08-01,23,12
2015-09-01,11,11
2015-10-01,11,11
2015-11-01,16,11
2015-12-01,18,11
2016-01-01,45,10
2016-02-01,45,10
2016-03-01,24,15
2016-04-01,40,13
2016-05-01,32,13
2016-06-01,27,17
2016-07-01,30,20
2016-08-01,46,10
2016-09-01,26,12
2016-10-01,99,14
2016-11-01,81,16
2016-12-01,100,9
2017-01-01,71,12
