date,number to call to see if cell phone is tapped,can someone read my text messages from their phone
2011-01-01,0,37
2011-02-01,0,34
2011-03-01,34,34
2011-04-01,34,0
2011-05-01,34,0
2011-06-01,35,0
2011-07-01,35,0
2011-08-01,100,0
2011-09-01,30,0
2011-10-01,30,0
2011-11-01,30,0
2011-12-01,30,0
2012-01-01,28,0
2012-02-01,27,0
2012-03-01,27,0
2012-04-01,57,0
2012-05-01,27,27
2012-06-01,27,28
2012-07-01,27,0
2012-08-01,27,0
2012-09-01,26,0
2012-10-01,32,0
2012-11-01,24,0
2012-12-01,22,0
2013-01-01,22,0
2013-02-01,22,25
2013-03-01,22,0
2013-04-01,22,0
2013-05-01,28,0
2013-06-01,33,0
2013-07-01,65,0
2013-08-01,21,22
2013-09-01,20,21
2013-10-01,20,21
2013-11-01,20,21
2013-12-01,21,20
2014-01-01,21,20
2014-02-01,21,21
2014-03-01,19,19
2014-04-01,19,20
2014-05-01,26,20
2014-06-01,21,22
2014-07-01,21,22
2014-08-01,21,20
2014-09-01,41,20
2014-10-01,39,20
2014-11-01,19,20
2014-12-01,19,20
2015-01-01,37,19
2015-02-01,30,19
2015-03-01,24,19
2015-04-01,24,19
2015-05-01,24,18
2015-06-01,27,18
2015-07-01,18,18
2015-08-01,24,18
2015-09-01,26,17
2015-10-01,29,17
2015-11-01,32,17
2015-12-01,34,17
2016-01-01,24,16
2016-02-01,49,16
2016-03-01,25,23
2016-04-01,47,21
2016-05-01,40,21
2016-06-01,26,26
2016-07-01,31,32
2016-08-01,23,16
2016-09-01,31,19
2016-10-01,48,22
2016-11-01,84,25
2016-12-01,49,15
2017-01-01,51,19
