date,cell phone spyware detection and removal,can someone read my text messages from their phone
2011-01-01,0,62
2011-02-01,0,58
2011-03-01,58,58
2011-04-01,62,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,47,0
2012-02-01,47,0
2012-03-01,48,0
2012-04-01,48,0
2012-05-01,45,45
2012-06-01,0,47
2012-07-01,0,0
2012-08-01,0,0
2012-09-01,0,0
2012-10-01,0,0
2012-11-01,0,0
2012-12-01,0,0
2013-01-01,0,0
2013-02-01,0,42
2013-03-01,0,0
2013-04-01,0,0
2013-05-01,0,0
2013-06-01,0,0
2013-07-01,0,0
2013-08-01,0,37
2013-09-01,0,35
2013-10-01,0,35
2013-11-01,0,35
2013-12-01,0,33
2014-01-01,33,33
2014-02-01,0,36
2014-03-01,0,32
2014-04-01,0,33
2014-05-01,0,34
2014-06-01,0,37
2014-07-01,36,36
2014-08-01,36,34
2014-09-01,33,34
2014-10-01,33,34
2014-11-01,0,34
2014-12-01,0,33
2015-01-01,0,32
2015-02-01,0,32
2015-03-01,0,32
2015-04-01,0,32
2015-05-01,0,31
2015-06-01,0,31
2015-07-01,0,31
2015-08-01,0,31
2015-09-01,0,29
2015-10-01,28,29
2015-11-01,26,29
2015-12-01,26,29
2016-01-01,26,28
2016-02-01,26,28
2016-03-01,26,39
2016-04-01,27,35
2016-05-01,26,35
2016-06-01,27,44
2016-07-01,27,54
2016-08-01,26,27
2016-09-01,32,32
2016-10-01,37,38
2016-11-01,42,42
2016-12-01,100,25
2017-01-01,79,32
