date,how to read someones text messages without their phone,can someone read my text messages from their phone
2011-01-01,0,21
2011-02-01,0,19
2011-03-01,19,19
2011-04-01,19,0
2011-05-01,19,0
2011-06-01,20,0
2011-07-01,20,0
2011-08-01,18,0
2011-09-01,18,0
2011-10-01,17,0
2011-11-01,17,0
2011-12-01,17,0
2012-01-01,16,0
2012-02-01,16,0
2012-03-01,15,0
2012-04-01,24,0
2012-05-01,30,15
2012-06-01,31,16
2012-07-01,31,0
2012-08-01,15,0
2012-09-01,15,0
2012-10-01,14,0
2012-11-01,28,0
2012-12-01,21,0
2013-01-01,19,0
2013-02-01,42,14
2013-03-01,21,0
2013-04-01,12,0
2013-05-01,12,0
2013-06-01,31,0
2013-07-01,25,0
2013-08-01,25,13
2013-09-01,19,12
2013-10-01,19,12
2013-11-01,27,12
2013-12-01,23,11
2014-01-01,43,11
2014-02-01,12,12
2014-03-01,21,11
2014-04-01,44,11
2014-05-01,41,11
2014-06-01,37,13
2014-07-01,12,12
2014-08-01,28,11
2014-09-01,19,11
2014-10-01,37,11
2014-11-01,22,11
2014-12-01,22,11
2015-01-01,17,11
2015-02-01,37,11
2015-03-01,14,11
2015-04-01,35,11
2015-05-01,30,10
2015-06-01,38,10
2015-07-01,31,10
2015-08-01,25,10
2015-09-01,30,10
2015-10-01,34,10
2015-11-01,16,10
2015-12-01,36,10
2016-01-01,52,9
2016-02-01,46,9
2016-03-01,100,13
2016-04-01,57,12
2016-05-01,55,12
2016-06-01,78,15
2016-07-01,45,18
2016-08-01,62,9
2016-09-01,32,11
2016-10-01,41,13
2016-11-01,98,14
2016-12-01,89,8
2017-01-01,71,11
