date,anti spy mobile review,can someone read my text messages from their phone
2011-01-01,0,100
2011-02-01,0,93
2011-03-01,0,93
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,83,0
2011-11-01,0,0
2011-12-01,0,0
2012-01-01,0,0
2012-02-01,0,0
2012-03-01,0,0
2012-04-01,0,0
2012-05-01,0,74
2012-06-01,76,76
2012-07-01,66,0
2012-08-01,66,0
2012-09-01,66,0
2012-10-01,66,0
2012-11-01,66,0
2012-12-01,61,0
2013-01-01,61,0
2013-02-01,58,67
2013-03-01,58,0
2013-04-01,58,0
2013-05-01,58,0
2013-06-01,59,0
2013-07-01,60,0
2013-08-01,59,60
2013-09-01,64,57
2013-10-01,69,57
2013-11-01,75,57
2013-12-01,52,53
2014-01-01,52,53
2014-02-01,0,58
2014-03-01,0,52
2014-04-01,0,54
2014-05-01,0,55
2014-06-01,0,61
2014-07-01,0,59
2014-08-01,0,55
2014-09-01,0,55
2014-10-01,53,55
2014-11-01,54,55
2014-12-01,0,54
2015-01-01,0,51
2015-02-01,0,51
2015-03-01,0,51
2015-04-01,0,51
2015-05-01,0,50
2015-06-01,99,50
2015-07-01,49,50
2015-08-01,73,50
2015-09-01,47,47
2015-10-01,45,47
2015-11-01,44,47
2015-12-01,44,47
2016-01-01,44,45
2016-02-01,44,45
2016-03-01,41,63
2016-04-01,41,56
2016-05-01,41,56
2016-06-01,43,72
2016-07-01,43,87
2016-08-01,42,43
2016-09-01,42,52
2016-10-01,40,61
2016-11-01,40,68
2016-12-01,40,41
2017-01-01,38,51
