date,how to use google hangout
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,3
2011-07-01,6
2011-08-01,5
2011-09-01,15
2011-10-01,9
2011-11-01,5
2011-12-01,13
2012-01-01,17
2012-02-01,6
2012-03-01,13
2012-04-01,15
2012-05-01,11
2012-06-01,12
2012-07-01,20
2012-08-01,34
2012-09-01,37
2012-10-01,30
2012-11-01,32
2012-12-01,36
2013-01-01,35
2013-02-01,34
2013-03-01,43
2013-04-01,37
2013-05-01,75
2013-06-01,86
2013-07-01,74
2013-08-01,81
2013-09-01,71
2013-10-01,76
2013-11-01,88
2013-12-01,76
2014-01-01,97
2014-02-01,100
2014-03-01,92
2014-04-01,96
2014-05-01,81
2014-06-01,78
2014-07-01,81
2014-08-01,74
2014-09-01,91
2014-10-01,79
2014-11-01,87
2014-12-01,75
2015-01-01,81
2015-02-01,82
2015-03-01,78
2015-04-01,72
2015-05-01,64
2015-06-01,74
2015-07-01,69
2015-08-01,64
2015-09-01,61
2015-10-01,51
2015-11-01,52
2015-12-01,52
2016-01-01,61
2016-02-01,58
2016-03-01,51
2016-04-01,50
2016-05-01,44
2016-06-01,38
2016-07-01,37
2016-08-01,42
2016-09-01,41
2016-10-01,41
2016-11-01,40
2016-12-01,44
2017-01-01,38
