date,google hangouts chat
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,1
2011-07-01,15
2011-08-01,3
2011-09-01,6
2011-10-01,3
2011-11-01,7
2011-12-01,7
2012-01-01,5
2012-02-01,4
2012-03-01,3
2012-04-01,3
2012-05-01,6
2012-06-01,8
2012-07-01,7
2012-08-01,14
2012-09-01,10
2012-10-01,9
2012-11-01,9
2012-12-01,9
2013-01-01,9
2013-02-01,8
2013-03-01,6
2013-04-01,9
2013-05-01,69
2013-06-01,60
2013-07-01,61
2013-08-01,66
2013-09-01,56
2013-10-01,64
2013-11-01,70
2013-12-01,73
2014-01-01,85
2014-02-01,80
2014-03-01,76
2014-04-01,81
2014-05-01,74
2014-06-01,75
2014-07-01,73
2014-08-01,86
2014-09-01,83
2014-10-01,88
2014-11-01,79
2014-12-01,88
2015-01-01,93
2015-02-01,95
2015-03-01,85
2015-04-01,89
2015-05-01,83
2015-06-01,100
2015-07-01,87
2015-08-01,82
2015-09-01,87
2015-10-01,88
2015-11-01,83
2015-12-01,81
2016-01-01,84
2016-02-01,85
2016-03-01,74
2016-04-01,76
2016-05-01,81
2016-06-01,67
2016-07-01,66
2016-08-01,74
2016-09-01,88
2016-10-01,78
2016-11-01,78
2016-12-01,69
2017-01-01,71
