date,google hangouts privacy
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,24
2011-12-01,22
2012-01-01,22
2012-02-01,22
2012-03-01,22
2012-04-01,22
2012-05-01,27
2012-06-01,32
2012-07-01,42
2012-08-01,52
2012-09-01,19
2012-10-01,19
2012-11-01,19
2012-12-01,19
2013-01-01,19
2013-02-01,19
2013-03-01,17
2013-04-01,17
2013-05-01,92
2013-06-01,95
2013-07-01,67
2013-08-01,33
2013-09-01,16
2013-10-01,31
2013-11-01,39
2013-12-01,48
2014-01-01,52
2014-02-01,73
2014-03-01,57
2014-04-01,82
2014-05-01,53
2014-06-01,34
2014-07-01,49
2014-08-01,49
2014-09-01,79
2014-10-01,30
2014-11-01,61
2014-12-01,53
2015-01-01,49
2015-02-01,54
2015-03-01,70
2015-04-01,50
2015-05-01,21
2015-06-01,85
2015-07-01,28
2015-08-01,35
2015-09-01,54
2015-10-01,39
2015-11-01,26
2015-12-01,13
2016-01-01,50
2016-02-01,100
2016-03-01,53
2016-04-01,24
2016-05-01,12
2016-06-01,18
2016-07-01,43
2016-08-01,24
2016-09-01,59
2016-10-01,34
2016-11-01,40
2016-12-01,46
2017-01-01,43
