Date,proxy web
2011-01-01,98.0
2011-02-01,97.0
2011-03-01,100.0
2011-04-01,93.0
2011-05-01,95.0
2011-06-01,89.0
2011-07-01,94.0
2011-08-01,86.0
2011-09-01,88.0
2011-10-01,89.0
2011-11-01,83.0
2011-12-01,81.0
2012-01-01,74.0
2012-02-01,90.0
2012-03-01,84.0
2012-04-01,76.0
2012-05-01,88.0
2012-06-01,63.0
2012-07-01,66.0
2012-08-01,67.0
2012-09-01,66.0
2012-10-01,84.0
2012-11-01,64.0
2012-12-01,64.0
2013-01-01,66.0
2013-02-01,80.0
2013-03-01,67.0
2013-04-01,67.0
2013-05-01,76.0
2013-06-01,60.0
2013-07-01,53.0
2013-08-01,46.0
2013-09-01,56.0
2013-10-01,65.0
2013-11-01,62.0
2013-12-01,59.0
2014-01-01,63.0
2014-02-01,83.0
2014-03-01,84.0
2014-04-01,80.0
2014-05-01,66.0
2014-06-01,80.0
2014-07-01,70.0
2014-08-01,71.0
2014-09-01,79.0
2014-10-01,81.0
2014-11-01,70.0
2014-12-01,69.0
2015-01-01,57.0
2015-02-01,70.0
2015-03-01,68.0
2015-04-01,65.0
2015-05-01,68.0
2015-06-01,58.0
2015-07-01,64.0
2015-08-01,66.0
2015-09-01,75.0
2015-10-01,73.0
2015-11-01,94.0
2015-12-01,65.0
2016-01-01,67.0
2016-02-01,57.0
2016-03-01,67.0
2016-04-01,70.0
2016-05-01,70.0
2016-06-01,62.0
