date,digitalstakeout
2011-01-01,0
2011-02-01,56
2011-03-01,100
2011-04-01,51
2011-05-01,51
2011-06-01,52
2011-07-01,48
2011-08-01,48
2011-09-01,47
2011-10-01,45
2011-11-01,45
2011-12-01,44
2012-01-01,41
2012-02-01,60
2012-03-01,80
2012-04-01,42
2012-05-01,77
2012-06-01,40
2012-07-01,79
2012-08-01,39
2012-09-01,78
2012-10-01,33
2012-11-01,33
2012-12-01,33
2013-01-01,33
2013-02-01,33
2013-03-01,33
2013-04-01,33
2013-05-01,33
2013-06-01,33
2013-07-01,43
2013-08-01,53
2013-09-01,63
2013-10-01,73
2013-11-01,30
2013-12-01,36
2014-01-01,42
2014-02-01,46
2014-03-01,27
2014-04-01,28
2014-05-01,29
2014-06-01,32
2014-07-01,31
2014-08-01,31
2014-09-01,45
2014-10-01,49
2014-11-01,53
2014-12-01,57
2015-01-01,27
2015-02-01,58
2015-03-01,26
2015-04-01,31
2015-05-01,36
2015-06-01,40
2015-07-01,27
2015-08-01,39
2015-09-01,51
2015-10-01,24
2015-11-01,62
2015-12-01,50
2016-01-01,24
2016-02-01,48
2016-03-01,35
2016-04-01,35
2016-05-01,23
2016-06-01,23
2016-07-01,23
2016-08-01,23
2016-09-01,23
2016-10-01,32
2016-11-01,43
2016-12-01,43
2017-01-01,20
