date,social listening platforms
2011-01-01,71
2011-02-01,59
2011-03-01,27
2011-04-01,57
2011-05-01,27
2011-06-01,28
2011-07-01,27
2011-08-01,51
2011-09-01,100
2011-10-01,24
2011-11-01,36
2011-12-01,31
2012-01-01,32
2012-02-01,22
2012-03-01,42
2012-04-01,44
2012-05-01,20
2012-06-01,21
2012-07-01,21
2012-08-01,35
2012-09-01,21
2012-10-01,25
2012-11-01,38
2012-12-01,29
2013-01-01,23
2013-02-01,38
2013-03-01,22
2013-04-01,34
2013-05-01,17
2013-06-01,26
2013-07-01,35
2013-08-01,45
2013-09-01,22
2013-10-01,16
2013-11-01,26
2013-12-01,40
2014-01-01,30
2014-02-01,27
2014-03-01,36
2014-04-01,15
2014-05-01,20
2014-06-01,34
2014-07-01,65
2014-08-01,16
2014-09-01,46
2014-10-01,75
2014-11-01,15
2014-12-01,40
2015-01-01,21
2015-02-01,36
2015-03-01,28
2015-04-01,52
2015-05-01,83
2015-06-01,14
2015-07-01,42
2015-08-01,23
2015-09-01,54
2015-10-01,56
2015-11-01,26
2015-12-01,54
2016-01-01,38
2016-02-01,29
2016-03-01,27
2016-04-01,45
2016-05-01,32
2016-06-01,45
2016-07-01,16
2016-08-01,60
2016-09-01,64
2016-10-01,34
2016-11-01,57
2016-12-01,12
2017-01-01,54
