date,how can I delete my instagram account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,1
2011-08-01,1,0
2011-09-01,0,0
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,2,2
2012-02-01,1,3
2012-03-01,1,2
2012-04-01,3,9
2012-05-01,2,12
2012-06-01,6,11
2012-07-01,5,14
2012-08-01,3,25
2012-09-01,3,16
2012-10-01,3,16
2012-11-01,5,16
2012-12-01,10,25
2013-01-01,12,37
2013-02-01,10,39
2013-03-01,4,27
2013-04-01,3,30
2013-05-01,3,33
2013-06-01,9,46
2013-07-01,10,39
2013-08-01,11,46
2013-09-01,10,30
2013-10-01,6,30
2013-11-01,3,24
2013-12-01,8,41
2014-01-01,8,46
2014-02-01,9,37
2014-03-01,5,37
2014-04-01,8,41
2014-05-01,6,42
2014-06-01,6,45
2014-07-01,6,48
2014-08-01,6,53
2014-09-01,5,38
2014-10-01,8,44
2014-11-01,10,51
2014-12-01,11,58
2015-01-01,10,67
2015-02-01,11,49
2015-03-01,9,51
2015-04-01,8,59
2015-05-01,11,51
2015-06-01,10,52
2015-07-01,14,86
2015-08-01,11,74
2015-09-01,16,62
2015-10-01,11,64
2015-11-01,15,56
2015-12-01,11,70
2016-01-01,13,76
2016-02-01,15,76
2016-03-01,12,78
2016-04-01,9,66
2016-05-01,12,71
2016-06-01,22,81
2016-07-01,21,100
2016-08-01,20,76
2016-09-01,17,59
2016-10-01,19,68
2016-11-01,26,77
2016-12-01,20,94
2017-01-01,19,92
