date,how to delete account on instagram,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,1
2011-07-01,0,1
2011-08-01,0,0
2011-09-01,1,0
2011-10-01,2,1
2011-11-01,2,2
2011-12-01,3,1
2012-01-01,4,2
2012-02-01,4,3
2012-03-01,5,2
2012-04-01,13,8
2012-05-01,12,9
2012-06-01,18,8
2012-07-01,20,12
2012-08-01,24,18
2012-09-01,24,16
2012-10-01,28,12
2012-11-01,24,11
2012-12-01,45,21
2013-01-01,42,28
2013-02-01,49,29
2013-03-01,46,21
2013-04-01,36,24
2013-05-01,43,27
2013-06-01,54,33
2013-07-01,55,29
2013-08-01,47,34
2013-09-01,34,24
2013-10-01,37,22
2013-11-01,34,20
2013-12-01,46,30
2014-01-01,42,34
2014-02-01,37,29
2014-03-01,47,30
2014-04-01,39,31
2014-05-01,35,32
2014-06-01,44,33
2014-07-01,45,38
2014-08-01,44,38
2014-09-01,37,30
2014-10-01,34,32
2014-11-01,46,35
2014-12-01,51,45
2015-01-01,52,50
2015-02-01,42,38
2015-03-01,41,38
2015-04-01,52,47
2015-05-01,48,40
2015-06-01,57,41
2015-07-01,67,66
2015-08-01,70,57
2015-09-01,57,49
2015-10-01,59,47
2015-11-01,54,42
2015-12-01,64,53
2016-01-01,69,56
2016-02-01,67,54
2016-03-01,77,59
2016-04-01,72,49
2016-05-01,68,53
2016-06-01,84,66
2016-07-01,91,72
2016-08-01,90,58
2016-09-01,69,49
2016-10-01,80,55
2016-11-01,90,63
2016-12-01,98,71
2017-01-01,100,72
