date,How to delete my Instagram account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,1,0
2011-05-01,1,0
2011-06-01,0,1
2011-07-01,1,1
2011-08-01,1,0
2011-09-01,1,0
2011-10-01,1,1
2011-11-01,4,2
2011-12-01,2,1
2012-01-01,2,2
2012-02-01,3,3
2012-03-01,2,3
2012-04-01,7,11
2012-05-01,8,11
2012-06-01,5,9
2012-07-01,8,13
2012-08-01,13,19
2012-09-01,8,19
2012-10-01,15,14
2012-11-01,11,12
2012-12-01,27,26
2013-01-01,37,31
2013-02-01,25,30
2013-03-01,20,25
2013-04-01,21,27
2013-05-01,21,30
2013-06-01,25,37
2013-07-01,16,33
2013-08-01,28,38
2013-09-01,25,28
2013-10-01,19,25
2013-11-01,14,26
2013-12-01,22,32
2014-01-01,27,37
2014-02-01,25,30
2014-03-01,26,34
2014-04-01,23,36
2014-05-01,20,33
2014-06-01,26,38
2014-07-01,24,44
2014-08-01,24,41
2014-09-01,20,35
2014-10-01,19,37
2014-11-01,24,36
2014-12-01,25,50
2015-01-01,29,53
2015-02-01,29,42
2015-03-01,21,41
2015-04-01,31,50
2015-05-01,35,46
2015-06-01,34,48
2015-07-01,48,78
2015-08-01,52,64
2015-09-01,55,55
2015-10-01,50,50
2015-11-01,50,48
2015-12-01,48,57
2016-01-01,52,63
2016-02-01,44,60
2016-03-01,52,64
2016-04-01,69,57
2016-05-01,62,61
2016-06-01,79,76
2016-07-01,81,78
2016-08-01,66,66
2016-09-01,63,61
2016-10-01,64,65
2016-11-01,75,76
2016-12-01,86,77
2017-01-01,100,81
