date,How do i delete Instagram account ,how to delete a instagram account
2011-01-01,1,0
2011-02-01,0,0
2011-03-01,1,0
2011-04-01,2,0
2011-05-01,1,0
2011-06-01,0,1
2011-07-01,2,1
2011-08-01,3,0
2011-09-01,2,1
2011-10-01,5,0
2011-11-01,2,1
2011-12-01,6,2
2012-01-01,4,3
2012-02-01,7,5
2012-03-01,9,3
2012-04-01,18,11
2012-05-01,14,10
2012-06-01,12,15
2012-07-01,18,18
2012-08-01,18,21
2012-09-01,18,21
2012-10-01,25,19
2012-11-01,23,20
2012-12-01,42,30
2013-01-01,50,39
2013-02-01,55,41
2013-03-01,32,27
2013-04-01,24,35
2013-05-01,22,35
2013-06-01,54,47
2013-07-01,35,45
2013-08-01,25,48
2013-09-01,22,37
2013-10-01,36,30
2013-11-01,37,30
2013-12-01,25,42
2014-01-01,23,42
2014-02-01,38,38
2014-03-01,46,44
2014-04-01,43,42
2014-05-01,24,39
2014-06-01,25,41
2014-07-01,41,56
2014-08-01,43,52
2014-09-01,35,42
2014-10-01,18,37
2014-11-01,27,48
2014-12-01,43,60
2015-01-01,44,69
2015-02-01,26,53
2015-03-01,22,56
2015-04-01,29,68
2015-05-01,36,55
2015-06-01,47,61
2015-07-01,33,85
2015-08-01,52,79
2015-09-01,61,65
2015-10-01,58,64
2015-11-01,38,62
2015-12-01,34,60
2016-01-01,50,83
2016-02-01,67,73
2016-03-01,57,85
2016-04-01,40,66
2016-05-01,41,72
2016-06-01,67,94
2016-07-01,79,100
2016-08-01,58,81
2016-09-01,44,66
2016-10-01,57,78
2016-11-01,75,81
2016-12-01,66,95
2017-01-01,70,93
