date,instagram account faq page,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,1
2011-07-01,0,1
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,0,2
2012-02-01,0,4
2012-03-01,0,3
2012-04-01,0,11
2012-05-01,0,12
2012-06-01,0,11
2012-07-01,0,17
2012-08-01,0,25
2012-09-01,0,21
2012-10-01,0,17
2012-11-01,0,16
2012-12-01,0,29
2013-01-01,0,39
2013-02-01,0,40
2013-03-01,0,30
2013-04-01,0,33
2013-05-01,0,37
2013-06-01,0,46
2013-07-01,0,41
2013-08-01,0,48
2013-09-01,0,34
2013-10-01,0,31
2013-11-01,0,28
2013-12-01,0,41
2014-01-01,0,47
2014-02-01,0,40
2014-03-01,0,41
2014-04-01,0,42
2014-05-01,0,44
2014-06-01,0,46
2014-07-01,0,53
2014-08-01,0,52
2014-09-01,0,41
2014-10-01,0,44
2014-11-01,0,48
2014-12-01,0,62
2015-01-01,0,69
2015-02-01,0,53
2015-03-01,0,53
2015-04-01,0,64
2015-05-01,0,55
2015-06-01,0,56
2015-07-01,0,91
2015-08-01,0,79
2015-09-01,0,68
2015-10-01,0,65
2015-11-01,0,58
2015-12-01,0,73
2016-01-01,0,78
2016-02-01,0,75
2016-03-01,0,82
2016-04-01,0,68
2016-05-01,0,74
2016-06-01,0,91
2016-07-01,0,100
2016-08-01,0,80
2016-09-01,0,68
2016-10-01,0,76
2016-11-01,0,88
2016-12-01,0,98
2017-01-01,0,99
