date,cell phone hacking,delete hangout history
2011-01-01,33,0
2011-02-01,40,1
2011-03-01,37,1
2011-04-01,39,0
2011-05-01,28,0
2011-06-01,37,0
2011-07-01,100,1
2011-08-01,42,0
2011-09-01,70,0
2011-10-01,49,0
2011-11-01,42,0
2011-12-01,49,0
2012-01-01,41,0
2012-02-01,42,0
2012-03-01,46,0
2012-04-01,38,0
2012-05-01,42,0
2012-06-01,38,0
2012-07-01,35,0
2012-08-01,33,1
2012-09-01,40,0
2012-10-01,36,1
2012-11-01,34,1
2012-12-01,37,1
2013-01-01,32,0
2013-02-01,31,2
2013-03-01,31,1
2013-04-01,32,0
2013-05-01,32,3
2013-06-01,26,3
2013-07-01,40,5
2013-08-01,37,5
2013-09-01,29,5
2013-10-01,31,5
2013-11-01,32,5
2013-12-01,33,7
2014-01-01,26,5
2014-02-01,34,7
2014-03-01,33,5
2014-04-01,28,6
2014-05-01,32,7
2014-06-01,31,7
2014-07-01,30,6
2014-08-01,24,5
2014-09-01,35,9
2014-10-01,29,7
2014-11-01,36,9
2014-12-01,24,7
2015-01-01,26,7
2015-02-01,31,5
2015-03-01,28,6
2015-04-01,30,6
2015-05-01,31,6
2015-06-01,32,7
2015-07-01,30,6
2015-08-01,32,8
2015-09-01,29,7
2015-10-01,24,4
2015-11-01,23,6
2015-12-01,24,6
2016-01-01,26,6
2016-02-01,24,4
2016-03-01,25,4
2016-04-01,30,3
2016-05-01,24,3
2016-06-01,23,3
2016-07-01,25,3
2016-08-01,24,3
2016-09-01,24,3
2016-10-01,20,3
2016-11-01,22,3
2016-12-01,22,3
2017-01-01,26,3
