date,how do I delete my twitter account
2011-01-01,20
2011-02-01,9
2011-03-01,14
2011-04-01,13
2011-05-01,19
2011-06-01,26
2011-07-01,27
2011-08-01,20
2011-09-01,24
2011-10-01,25
2011-11-01,22
2011-12-01,43
2012-01-01,40
2012-02-01,41
2012-03-01,42
2012-04-01,39
2012-05-01,43
2012-06-01,44
2012-07-01,47
2012-08-01,54
2012-09-01,45
2012-10-01,36
2012-11-01,47
2012-12-01,55
2013-01-01,61
2013-02-01,56
2013-03-01,54
2013-04-01,55
2013-05-01,68
2013-06-01,44
2013-07-01,61
2013-08-01,80
2013-09-01,78
2013-10-01,59
2013-11-01,47
2013-12-01,43
2014-01-01,60
2014-02-01,100
2014-03-01,96
2014-04-01,41
2014-05-01,46
2014-06-01,70
2014-07-01,92
2014-08-01,73
2014-09-01,64
2014-10-01,67
2014-11-01,72
2014-12-01,69
2015-01-01,87
2015-02-01,64
2015-03-01,50
2015-04-01,58
2015-05-01,91
2015-06-01,96
2015-07-01,45
2015-08-01,65
2015-09-01,76
2015-10-01,76
2015-11-01,42
2015-12-01,36
2016-01-01,68
2016-02-01,58
2016-03-01,49
2016-04-01,44
2016-05-01,36
2016-06-01,57
2016-07-01,80
2016-08-01,59
2016-09-01,39
2016-10-01,39
2016-11-01,62
2016-12-01,54
2017-01-01,54
