date,How to quit Twitter
2011-01-01,37
2011-02-01,34
2011-03-01,26
2011-04-01,91
2011-05-01,61
2011-06-01,86
2011-07-01,84
2011-08-01,67
2011-09-01,66
2011-10-01,47
2011-11-01,98
2011-12-01,54
2012-01-01,74
2012-02-01,55
2012-03-01,59
2012-04-01,43
2012-05-01,34
2012-06-01,66
2012-07-01,83
2012-08-01,65
2012-09-01,58
2012-10-01,40
2012-11-01,71
2012-12-01,72
2013-01-01,90
2013-02-01,100
2013-03-01,52
2013-04-01,59
2013-05-01,49
2013-06-01,76
2013-07-01,61
2013-08-01,72
2013-09-01,51
2013-10-01,72
2013-11-01,57
2013-12-01,42
2014-01-01,68
2014-02-01,69
2014-03-01,55
2014-04-01,52
2014-05-01,65
2014-06-01,61
2014-07-01,51
2014-08-01,51
2014-09-01,67
2014-10-01,47
2014-11-01,58
2014-12-01,70
2015-01-01,51
2015-02-01,58
2015-03-01,46
2015-04-01,42
2015-05-01,66
2015-06-01,58
2015-07-01,32
2015-08-01,77
2015-09-01,44
2015-10-01,71
2015-11-01,48
2015-12-01,51
2016-01-01,62
2016-02-01,62
2016-03-01,56
2016-04-01,48
2016-05-01,33
2016-06-01,58
2016-07-01,54
2016-08-01,55
2016-09-01,65
2016-10-01,58
2016-11-01,51
2016-12-01,56
2017-01-01,69
