date,cancel youtube account,how to delete a youtube account
2011-01-01,11,28
2011-02-01,10,33
2011-03-01,9,38
2011-04-01,13,36
2011-05-01,8,34
2011-06-01,12,43
2011-07-01,14,57
2011-08-01,18,55
2011-09-01,14,48
2011-10-01,13,53
2011-11-01,14,58
2011-12-01,15,63
2012-01-01,13,56
2012-02-01,12,52
2012-03-01,11,50
2012-04-01,14,71
2012-05-01,14,60
2012-06-01,12,64
2012-07-01,14,81
2012-08-01,13,83
2012-09-01,12,60
2012-10-01,10,52
2012-11-01,13,64
2012-12-01,18,64
2013-01-01,12,73
2013-02-01,10,70
2013-03-01,15,66
2013-04-01,12,67
2013-05-01,12,67
2013-06-01,11,71
2013-07-01,12,88
2013-08-01,10,100
2013-09-01,9,63
2013-10-01,12,59
2013-11-01,7,56
2013-12-01,8,62
2014-01-01,9,62
2014-02-01,10,58
2014-03-01,9,63
2014-04-01,8,57
2014-05-01,8,56
2014-06-01,9,55
2014-07-01,8,71
2014-08-01,8,66
2014-09-01,8,51
2014-10-01,9,46
2014-11-01,8,51
2014-12-01,7,51
2015-01-01,9,59
2015-02-01,8,44
2015-03-01,8,50
2015-04-01,7,49
2015-05-01,8,50
2015-06-01,7,55
2015-07-01,6,51
2015-08-01,6,50
2015-09-01,6,40
2015-10-01,8,36
2015-11-01,5,36
2015-12-01,9,45
2016-01-01,7,45
2016-02-01,8,43
2016-03-01,10,39
2016-04-01,8,43
2016-05-01,7,39
2016-06-01,8,45
2016-07-01,10,49
2016-08-01,8,48
2016-09-01,8,37
2016-10-01,8,35
2016-11-01,9,36
2016-12-01,9,42
2017-01-01,9,46
