date,how to delete youtube app,how to delete a youtube account
2011-01-01,8,41
2011-02-01,8,34
2011-03-01,6,43
2011-04-01,6,42
2011-05-01,7,40
2011-06-01,7,56
2011-07-01,9,65
2011-08-01,12,56
2011-09-01,7,66
2011-10-01,6,54
2011-11-01,11,64
2011-12-01,16,76
2012-01-01,11,62
2012-02-01,10,54
2012-03-01,10,56
2012-04-01,13,72
2012-05-01,11,69
2012-06-01,11,90
2012-07-01,14,95
2012-08-01,14,91
2012-09-01,39,69
2012-10-01,37,56
2012-11-01,30,70
2012-12-01,39,76
2013-01-01,35,82
2013-02-01,32,88
2013-03-01,27,81
2013-04-01,26,76
2013-05-01,28,77
2013-06-01,30,83
2013-07-01,33,100
2013-08-01,38,96
2013-09-01,35,75
2013-10-01,23,63
2013-11-01,26,66
2013-12-01,34,69
2014-01-01,39,80
2014-02-01,24,66
2014-03-01,28,69
2014-04-01,29,67
2014-05-01,29,63
2014-06-01,30,65
2014-07-01,33,78
2014-08-01,39,80
2014-09-01,32,56
2014-10-01,32,54
2014-11-01,28,58
2014-12-01,30,58
2015-01-01,30,63
2015-02-01,22,47
2015-03-01,25,60
2015-04-01,22,51
2015-05-01,24,58
2015-06-01,26,63
2015-07-01,34,54
2015-08-01,32,59
2015-09-01,27,40
2015-10-01,29,42
2015-11-01,28,45
2015-12-01,33,51
2016-01-01,30,58
2016-02-01,28,47
2016-03-01,20,46
2016-04-01,22,40
2016-05-01,21,46
2016-06-01,22,48
2016-07-01,31,59
2016-08-01,29,45
2016-09-01,21,42
2016-10-01,26,42
2016-11-01,30,40
2016-12-01,30,52
2017-01-01,25,48
