date,Close youtube account,how to delete a youtube account
2011-01-01,13,28
2011-02-01,13,33
2011-03-01,17,38
2011-04-01,13,36
2011-05-01,18,34
2011-06-01,20,43
2011-07-01,18,57
2011-08-01,22,55
2011-09-01,19,48
2011-10-01,27,53
2011-11-01,24,58
2011-12-01,30,63
2012-01-01,28,56
2012-02-01,25,52
2012-03-01,25,50
2012-04-01,39,71
2012-05-01,30,60
2012-06-01,26,64
2012-07-01,30,81
2012-08-01,35,83
2012-09-01,26,60
2012-10-01,23,52
2012-11-01,27,64
2012-12-01,31,64
2013-01-01,32,73
2013-02-01,27,70
2013-03-01,32,66
2013-04-01,31,67
2013-05-01,25,67
2013-06-01,21,71
2013-07-01,23,88
2013-08-01,22,100
2013-09-01,20,63
2013-10-01,19,59
2013-11-01,15,56
2013-12-01,14,62
2014-01-01,15,62
2014-02-01,13,58
2014-03-01,14,63
2014-04-01,14,57
2014-05-01,15,56
2014-06-01,14,55
2014-07-01,15,71
2014-08-01,17,66
2014-09-01,13,51
2014-10-01,11,46
2014-11-01,12,51
2014-12-01,12,51
2015-01-01,12,59
2015-02-01,12,44
2015-03-01,11,50
2015-04-01,12,49
2015-05-01,12,50
2015-06-01,10,55
2015-07-01,9,51
2015-08-01,10,50
2015-09-01,9,40
2015-10-01,12,36
2015-11-01,10,36
2015-12-01,9,45
2016-01-01,11,45
2016-02-01,10,43
2016-03-01,11,39
2016-04-01,10,43
2016-05-01,8,39
2016-06-01,11,45
2016-07-01,10,49
2016-08-01,14,48
2016-09-01,11,37
2016-10-01,10,35
2016-11-01,11,36
2016-12-01,11,42
2017-01-01,11,46
