date,how to delete youtube video,how to delete a youtube account
2011-01-01,39,21
2011-02-01,41,18
2011-03-01,56,22
2011-04-01,50,21
2011-05-01,49,20
2011-06-01,84,29
2011-07-01,86,33
2011-08-01,90,29
2011-09-01,67,34
2011-10-01,68,28
2011-11-01,83,33
2011-12-01,100,39
2012-01-01,88,32
2012-02-01,74,28
2012-03-01,73,29
2012-04-01,71,37
2012-05-01,64,36
2012-06-01,64,46
2012-07-01,79,49
2012-08-01,78,47
2012-09-01,65,36
2012-10-01,72,29
2012-11-01,66,36
2012-12-01,71,39
2013-01-01,69,42
2013-02-01,69,45
2013-03-01,67,42
2013-04-01,67,39
2013-05-01,68,40
2013-06-01,73,43
2013-07-01,72,51
2013-08-01,53,49
2013-09-01,50,39
2013-10-01,44,32
2013-11-01,45,34
2013-12-01,50,35
2014-01-01,49,41
2014-02-01,55,34
2014-03-01,47,36
2014-04-01,49,35
2014-05-01,48,32
2014-06-01,50,33
2014-07-01,62,40
2014-08-01,63,41
2014-09-01,55,29
2014-10-01,58,28
2014-11-01,58,30
2014-12-01,65,30
2015-01-01,63,33
2015-02-01,58,24
2015-03-01,58,31
2015-04-01,59,26
2015-05-01,63,30
2015-06-01,59,32
2015-07-01,64,28
2015-08-01,60,30
2015-09-01,58,21
2015-10-01,55,22
2015-11-01,54,23
2015-12-01,62,26
2016-01-01,58,30
2016-02-01,53,24
2016-03-01,52,24
2016-04-01,50,21
2016-05-01,55,24
2016-06-01,52,25
2016-07-01,54,30
2016-08-01,58,23
2016-09-01,51,22
2016-10-01,48,21
2016-11-01,50,20
2016-12-01,56,27
2017-01-01,61,25
