date,how to delete youtube account,how to delete a youtube account
2011-01-01,37,11
2011-02-01,33,14
2011-03-01,36,15
2011-04-01,38,15
2011-05-01,37,14
2011-06-01,51,18
2011-07-01,59,23
2011-08-01,55,22
2011-09-01,59,19
2011-10-01,60,22
2011-11-01,68,23
2011-12-01,78,26
2012-01-01,69,23
2012-02-01,65,21
2012-03-01,64,20
2012-04-01,78,29
2012-05-01,74,25
2012-06-01,84,26
2012-07-01,83,33
2012-08-01,81,34
2012-09-01,67,25
2012-10-01,63,21
2012-11-01,72,26
2012-12-01,80,26
2013-01-01,82,30
2013-02-01,86,29
2013-03-01,82,27
2013-04-01,85,27
2013-05-01,81,27
2013-06-01,90,29
2013-07-01,91,36
2013-08-01,100,41
2013-09-01,79,26
2013-10-01,70,24
2013-11-01,69,23
2013-12-01,75,25
2014-01-01,73,25
2014-02-01,64,23
2014-03-01,65,26
2014-04-01,64,23
2014-05-01,62,23
2014-06-01,61,22
2014-07-01,79,29
2014-08-01,76,27
2014-09-01,62,21
2014-10-01,59,19
2014-11-01,59,21
2014-12-01,63,21
2015-01-01,63,24
2015-02-01,59,18
2015-03-01,56,21
2015-04-01,55,20
2015-05-01,58,21
2015-06-01,57,22
2015-07-01,63,21
2015-08-01,61,21
2015-09-01,51,16
2015-10-01,47,15
2015-11-01,48,15
2015-12-01,53,18
2016-01-01,55,18
2016-02-01,50,18
2016-03-01,51,16
2016-04-01,48,18
2016-05-01,47,16
2016-06-01,53,18
2016-07-01,61,20
2016-08-01,54,20
2016-09-01,46,15
2016-10-01,47,14
2016-11-01,49,15
2016-12-01,56,17
2017-01-01,57,19
