date,how do you delete a youtube account,how to delete a youtube account
2011-01-01,9,28
2011-02-01,8,33
2011-03-01,9,38
2011-04-01,10,36
2011-05-01,10,34
2011-06-01,13,43
2011-07-01,14,57
2011-08-01,16,55
2011-09-01,14,48
2011-10-01,9,53
2011-11-01,14,58
2011-12-01,13,63
2012-01-01,13,56
2012-02-01,10,52
2012-03-01,6,50
2012-04-01,15,71
2012-05-01,12,60
2012-06-01,17,64
2012-07-01,18,81
2012-08-01,16,83
2012-09-01,9,60
2012-10-01,10,52
2012-11-01,12,64
2012-12-01,18,64
2013-01-01,14,73
2013-02-01,15,70
2013-03-01,14,66
2013-04-01,14,67
2013-05-01,12,67
2013-06-01,13,71
2013-07-01,14,88
2013-08-01,15,100
2013-09-01,8,63
2013-10-01,8,59
2013-11-01,6,56
2013-12-01,11,62
2014-01-01,13,62
2014-02-01,7,58
2014-03-01,9,63
2014-04-01,9,57
2014-05-01,7,56
2014-06-01,8,55
2014-07-01,8,71
2014-08-01,11,66
2014-09-01,5,51
2014-10-01,7,46
2014-11-01,7,51
2014-12-01,7,51
2015-01-01,7,59
2015-02-01,5,44
2015-03-01,5,50
2015-04-01,7,49
2015-05-01,4,50
2015-06-01,7,55
2015-07-01,3,51
2015-08-01,4,50
2015-09-01,4,40
2015-10-01,4,36
2015-11-01,5,36
2015-12-01,7,45
2016-01-01,6,45
2016-02-01,6,43
2016-03-01,5,39
2016-04-01,6,43
2016-05-01,3,39
2016-06-01,5,45
2016-07-01,6,49
2016-08-01,6,48
2016-09-01,4,37
2016-10-01,4,35
2016-11-01,4,36
2016-12-01,5,42
2017-01-01,5,46
