date,How do i delete my youtube account,how to delete a youtube account
2011-01-01,10,33
2011-02-01,12,34
2011-03-01,10,39
2011-04-01,9,32
2011-05-01,10,40
2011-06-01,16,48
2011-07-01,10,57
2011-08-01,19,50
2011-09-01,16,56
2011-10-01,19,54
2011-11-01,16,55
2011-12-01,19,61
2012-01-01,20,52
2012-02-01,15,52
2012-03-01,16,52
2012-04-01,19,67
2012-05-01,19,63
2012-06-01,19,75
2012-07-01,22,87
2012-08-01,16,83
2012-09-01,15,65
2012-10-01,18,47
2012-11-01,26,69
2012-12-01,17,69
2013-01-01,21,78
2013-02-01,19,78
2013-03-01,15,77
2013-04-01,21,70
2013-05-01,17,65
2013-06-01,18,75
2013-07-01,16,89
2013-08-01,20,100
2013-09-01,17,71
2013-10-01,18,64
2013-11-01,13,57
2013-12-01,14,70
2014-01-01,17,72
2014-02-01,13,58
2014-03-01,10,58
2014-04-01,11,68
2014-05-01,13,57
2014-06-01,10,61
2014-07-01,14,67
2014-08-01,11,64
2014-09-01,9,54
2014-10-01,9,49
2014-11-01,9,45
2014-12-01,8,49
2015-01-01,8,58
2015-02-01,9,47
2015-03-01,8,49
2015-04-01,8,52
2015-05-01,8,52
2015-06-01,5,55
2015-07-01,8,56
2015-08-01,7,52
2015-09-01,10,42
2015-10-01,7,41
2015-11-01,8,37
2015-12-01,6,51
2016-01-01,10,49
2016-02-01,7,43
2016-03-01,7,43
2016-04-01,6,38
2016-05-01,8,41
2016-06-01,7,52
2016-07-01,7,51
2016-08-01,9,45
2016-09-01,6,38
2016-10-01,6,40
2016-11-01,6,36
2016-12-01,7,47
2017-01-01,7,44
