date,disable youtube account,how to delete a youtube account
2011-01-01,3,28
2011-02-01,3,33
2011-03-01,5,38
2011-04-01,5,36
2011-05-01,5,34
2011-06-01,7,43
2011-07-01,4,57
2011-08-01,9,55
2011-09-01,5,48
2011-10-01,9,53
2011-11-01,6,58
2011-12-01,8,63
2012-01-01,7,56
2012-02-01,6,52
2012-03-01,6,50
2012-04-01,4,71
2012-05-01,6,60
2012-06-01,9,64
2012-07-01,7,81
2012-08-01,7,83
2012-09-01,6,60
2012-10-01,6,52
2012-11-01,5,64
2012-12-01,8,64
2013-01-01,9,73
2013-02-01,8,70
2013-03-01,6,66
2013-04-01,6,67
2013-05-01,8,67
2013-06-01,8,71
2013-07-01,7,88
2013-08-01,7,100
2013-09-01,10,63
2013-10-01,8,59
2013-11-01,7,56
2013-12-01,9,62
2014-01-01,7,62
2014-02-01,7,58
2014-03-01,9,63
2014-04-01,5,57
2014-05-01,3,56
2014-06-01,9,55
2014-07-01,8,71
2014-08-01,9,66
2014-09-01,6,51
2014-10-01,6,46
2014-11-01,7,51
2014-12-01,8,51
2015-01-01,6,59
2015-02-01,7,44
2015-03-01,6,50
2015-04-01,5,49
2015-05-01,4,50
2015-06-01,6,55
2015-07-01,7,51
2015-08-01,7,50
2015-09-01,7,40
2015-10-01,5,36
2015-11-01,5,36
2015-12-01,5,45
2016-01-01,8,45
2016-02-01,5,43
2016-03-01,5,39
2016-04-01,6,43
2016-05-01,4,39
2016-06-01,6,45
2016-07-01,6,49
2016-08-01,8,48
2016-09-01,7,37
2016-10-01,8,35
2016-11-01,5,36
2016-12-01,8,42
2017-01-01,9,46
