date,delete my youtube account,how to delete a youtube account
2011-01-01,30,33
2011-02-01,28,34
2011-03-01,24,39
2011-04-01,21,32
2011-05-01,30,40
2011-06-01,33,48
2011-07-01,31,57
2011-08-01,43,50
2011-09-01,38,56
2011-10-01,40,54
2011-11-01,34,55
2011-12-01,44,61
2012-01-01,44,52
2012-02-01,45,52
2012-03-01,42,52
2012-04-01,44,67
2012-05-01,43,63
2012-06-01,51,75
2012-07-01,49,87
2012-08-01,46,83
2012-09-01,43,65
2012-10-01,43,47
2012-11-01,45,69
2012-12-01,45,69
2013-01-01,48,78
2013-02-01,45,78
2013-03-01,49,77
2013-04-01,52,70
2013-05-01,49,65
2013-06-01,48,75
2013-07-01,54,89
2013-08-01,56,100
2013-09-01,46,71
2013-10-01,46,64
2013-11-01,46,57
2013-12-01,42,70
2014-01-01,45,72
2014-02-01,47,58
2014-03-01,40,58
2014-04-01,36,68
2014-05-01,39,57
2014-06-01,36,61
2014-07-01,46,67
2014-08-01,41,64
2014-09-01,30,54
2014-10-01,31,49
2014-11-01,31,45
2014-12-01,32,49
2015-01-01,30,58
2015-02-01,31,47
2015-03-01,32,49
2015-04-01,29,52
2015-05-01,30,52
2015-06-01,27,55
2015-07-01,33,56
2015-08-01,33,52
2015-09-01,29,42
2015-10-01,25,41
2015-11-01,26,37
2015-12-01,31,51
2016-01-01,32,49
2016-02-01,28,43
2016-03-01,28,43
2016-04-01,24,38
2016-05-01,29,41
2016-06-01,28,52
2016-07-01,29,51
2016-08-01,37,45
2016-09-01,28,38
2016-10-01,26,40
2016-11-01,29,36
2016-12-01,31,47
2017-01-01,30,44
