date,How to delete YouTube account,how to delete a youtube account
2011-01-01,34,12
2011-02-01,34,14
2011-03-01,34,17
2011-04-01,34,12
2011-05-01,35,13
2011-06-01,45,18
2011-07-01,54,21
2011-08-01,56,20
2011-09-01,56,24
2011-10-01,58,21
2011-11-01,61,25
2011-12-01,75,26
2012-01-01,61,23
2012-02-01,60,21
2012-03-01,61,22
2012-04-01,72,24
2012-05-01,72,23
2012-06-01,77,28
2012-07-01,81,33
2012-08-01,91,35
2012-09-01,65,22
2012-10-01,60,20
2012-11-01,74,25
2012-12-01,81,25
2013-01-01,81,30
2013-02-01,87,34
2013-03-01,72,26
2013-04-01,80,25
2013-05-01,80,27
2013-06-01,86,30
2013-07-01,90,33
2013-08-01,100,39
2013-09-01,73,28
2013-10-01,68,22
2013-11-01,69,21
2013-12-01,70,24
2014-01-01,74,30
2014-02-01,64,23
2014-03-01,67,24
2014-04-01,61,22
2014-05-01,58,22
2014-06-01,60,24
2014-07-01,76,29
2014-08-01,71,25
2014-09-01,60,20
2014-10-01,58,20
2014-11-01,57,20
2014-12-01,60,21
2015-01-01,60,23
2015-02-01,55,16
2015-03-01,55,19
2015-04-01,56,20
2015-05-01,55,23
2015-06-01,56,20
2015-07-01,65,21
2015-08-01,62,20
2015-09-01,48,14
2015-10-01,49,15
2015-11-01,45,14
2015-12-01,53,17
2016-01-01,57,20
2016-02-01,47,15
2016-03-01,45,15
2016-04-01,45,16
2016-05-01,46,15
2016-06-01,50,18
2016-07-01,59,20
2016-08-01,55,19
2016-09-01,49,14
2016-10-01,47,14
2016-11-01,46,15
2016-12-01,57,17
2017-01-01,55,17
