date,how to delete youtube channel,how to delete a youtube account
2011-01-01,10,40
2011-02-01,8,34
2011-03-01,10,42
2011-04-01,7,41
2011-05-01,13,39
2011-06-01,12,54
2011-07-01,14,63
2011-08-01,15,54
2011-09-01,14,64
2011-10-01,21,53
2011-11-01,19,63
2011-12-01,23,74
2012-01-01,20,61
2012-02-01,17,52
2012-03-01,19,55
2012-04-01,26,70
2012-05-01,23,67
2012-06-01,22,88
2012-07-01,25,93
2012-08-01,26,89
2012-09-01,25,67
2012-10-01,23,55
2012-11-01,26,68
2012-12-01,29,75
2013-01-01,29,80
2013-02-01,26,85
2013-03-01,27,79
2013-04-01,32,74
2013-05-01,35,76
2013-06-01,41,81
2013-07-01,50,98
2013-08-01,62,94
2013-09-01,64,73
2013-10-01,51,61
2013-11-01,49,65
2013-12-01,52,67
2014-01-01,68,78
2014-02-01,57,64
2014-03-01,71,68
2014-04-01,63,66
2014-05-01,59,62
2014-06-01,56,63
2014-07-01,86,77
2014-08-01,80,78
2014-09-01,62,55
2014-10-01,59,53
2014-11-01,53,57
2014-12-01,62,57
2015-01-01,63,62
2015-02-01,62,46
2015-03-01,62,58
2015-04-01,59,50
2015-05-01,55,57
2015-06-01,69,62
2015-07-01,72,53
2015-08-01,75,57
2015-09-01,61,39
2015-10-01,67,41
2015-11-01,58,44
2015-12-01,72,49
2016-01-01,81,57
2016-02-01,58,46
2016-03-01,58,45
2016-04-01,55,39
2016-05-01,61,45
2016-06-01,75,47
2016-07-01,75,57
2016-08-01,70,44
2016-09-01,68,41
2016-10-01,70,41
2016-11-01,71,39
2016-12-01,82,51
2017-01-01,100,47
