date,social media settings & privacy index trends
1/1/11,52
2/1/11,51
3/1/11,50
4/1/11,53
5/1/11,55
6/1/11,57
7/1/11,62
8/1/11,64
9/1/11,77
10/1/11,71
11/1/11,69
12/1/11,71
1/1/12,69
2/1/12,71
3/1/12,67
4/1/12,67
5/1/12,65
6/1/12,74
7/1/12,67
8/1/12,76
9/1/12,82
10/1/12,79
11/1/12,76
12/1/12,78
1/1/13,72
2/1/13,73
3/1/13,74
4/1/13,72
5/1/13,71
6/1/13,71
7/1/13,75
8/1/13,73
9/1/13,73
10/1/13,76
11/1/13,72
12/1/13,70
1/1/14,71
2/1/14,71
3/1/14,71
4/1/14,79
5/1/14,76
6/1/14,72
7/1/14,75
8/1/14,80
9/1/14,79
10/1/14,72
11/1/14,72
12/1/14,72
1/1/15,82
2/1/15,71
3/1/15,72
4/1/15,74
5/1/15,71
6/1/15,73
7/1/15,75
8/1/15,79
9/1/15,84
10/1/15,74
11/1/15,72
12/1/15,73
1/1/16,75
2/1/16,74
3/1/16,77
4/1/16,81
5/1/16,81
6/1/16,88
7/1/16,91
8/1/16,84
9/1/16,84
10/1/16,100
11/1/16,85
12/1/16,83
1/1/17,86
