date,How to delete my Instagram account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,1,0
2011-05-01,1,0
2011-06-01,0,0
2011-07-01,1,1
2011-08-01,1,0
2011-09-01,1,1
2011-10-01,1,2
2011-11-01,1,2
2011-12-01,1,3
2012-01-01,2,3
2012-02-01,2,4
2012-03-01,2,2
2012-04-01,6,9
2012-05-01,6,8
2012-06-01,5,11
2012-07-01,8,14
2012-08-01,11,19
2012-09-01,10,17
2012-10-01,12,15
2012-11-01,13,13
2012-12-01,25,23
2013-01-01,32,30
2013-02-01,21,31
2013-03-01,16,22
2013-04-01,21,23
2013-05-01,19,30
2013-06-01,26,43
2013-07-01,21,34
2013-08-01,23,39
2013-09-01,21,27
2013-10-01,18,27
2013-11-01,14,25
2013-12-01,22,37
2014-01-01,22,32
2014-02-01,24,35
2014-03-01,28,31
2014-04-01,24,38
2014-05-01,22,35
2014-06-01,24,40
2014-07-01,29,50
2014-08-01,28,42
2014-09-01,19,33
2014-10-01,20,34
2014-11-01,25,39
2014-12-01,29,50
2015-01-01,32,55
2015-02-01,25,47
2015-03-01,26,49
2015-04-01,32,54
2015-05-01,34,44
2015-06-01,36,51
2015-07-01,51,71
2015-08-01,48,74
2015-09-01,52,52
2015-10-01,51,54
2015-11-01,47,52
2015-12-01,54,52
2016-01-01,53,67
2016-02-01,50,59
2016-03-01,55,70
2016-04-01,62,56
2016-05-01,68,64
2016-06-01,75,75
2016-07-01,77,83
2016-08-01,73,68
2016-09-01,60,51
2016-10-01,69,66
2016-11-01,79,71
2016-12-01,93,80
2017-01-01,100,78
