date,how to deactivate snapchat,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,0,1
2011-11-01,0,3
2011-12-01,0,2
2012-01-01,0,3
2012-02-01,0,3
2012-03-01,0,3
2012-04-01,0,8
2012-05-01,0,10
2012-06-01,0,14
2012-07-01,0,19
2012-08-01,0,24
2012-09-01,1,21
2012-10-01,2,22
2012-11-01,5,22
2012-12-01,3,28
2013-01-01,2,37
2013-02-01,2,40
2013-03-01,3,30
2013-04-01,7,34
2013-05-01,12,33
2013-06-01,13,52
2013-07-01,9,42
2013-08-01,12,46
2013-09-01,14,28
2013-10-01,17,32
2013-11-01,13,30
2013-12-01,18,46
2014-01-01,30,44
2014-02-01,23,41
2014-03-01,28,42
2014-04-01,34,50
2014-05-01,37,42
2014-06-01,31,50
2014-07-01,35,58
2014-08-01,34,48
2014-09-01,35,40
2014-10-01,35,39
2014-11-01,39,47
2014-12-01,45,62
2015-01-01,58,67
2015-02-01,43,56
2015-03-01,39,60
2015-04-01,38,70
2015-05-01,37,54
2015-06-01,42,60
2015-07-01,51,90
2015-08-01,42,82
2015-09-01,46,67
2015-10-01,40,63
2015-11-01,50,61
2015-12-01,53,66
2016-01-01,62,89
2016-02-01,57,72
2016-03-01,59,87
2016-04-01,71,71
2016-05-01,80,76
2016-06-01,92,95
2016-07-01,95,98
2016-08-01,88,81
2016-09-01,86,72
2016-10-01,97,79
2016-11-01,97,88
2016-12-01,91,100
2017-01-01,98,99
