date,Deleting Instagram account,how to delete a instagram account
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,1,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,1
2011-07-01,0,1
2011-08-01,0,0
2011-09-01,1,1
2011-10-01,1,0
2011-11-01,1,1
2011-12-01,2,2
2012-01-01,1,3
2012-02-01,2,5
2012-03-01,2,3
2012-04-01,5,11
2012-05-01,6,10
2012-06-01,7,15
2012-07-01,14,18
2012-08-01,9,21
2012-09-01,7,21
2012-10-01,7,19
2012-11-01,6,20
2012-12-01,22,30
2013-01-01,14,39
2013-02-01,20,41
2013-03-01,12,27
2013-04-01,12,35
2013-05-01,46,35
2013-06-01,18,47
2013-07-01,17,45
2013-08-01,16,48
2013-09-01,12,37
2013-10-01,12,30
2013-11-01,10,30
2013-12-01,13,42
2014-01-01,16,42
2014-02-01,15,38
2014-03-01,27,44
2014-04-01,18,42
2014-05-01,15,39
2014-06-01,19,41
2014-07-01,18,56
2014-08-01,18,52
2014-09-01,15,42
2014-10-01,14,37
2014-11-01,18,48
2014-12-01,61,60
2015-01-01,23,69
2015-02-01,21,53
2015-03-01,20,56
2015-04-01,18,68
2015-05-01,24,55
2015-06-01,26,61
2015-07-01,37,85
2015-08-01,36,79
2015-09-01,27,65
2015-10-01,25,64
2015-11-01,23,62
2015-12-01,22,60
2016-01-01,24,83
2016-02-01,31,73
2016-03-01,42,85
2016-04-01,26,66
2016-05-01,28,72
2016-06-01,28,94
2016-07-01,46,100
2016-08-01,39,81
2016-09-01,28,66
2016-10-01,27,78
2016-11-01,34,81
2016-12-01,51,95
2017-01-01,43,93
