date,how to delete facebook account forever,how to delete a instagram account
2011-01-01,45,0
2011-02-01,37,0
2011-03-01,43,0
2011-04-01,49,0
2011-05-01,44,0
2011-06-01,56,0
2011-07-01,66,0
2011-08-01,100,1
2011-09-01,37,1
2011-10-01,18,1
2011-11-01,15,3
2011-12-01,16,1
2012-01-01,27,2
2012-02-01,19,4
2012-03-01,33,3
2012-04-01,24,7
2012-05-01,25,10
2012-06-01,16,12
2012-07-01,21,15
2012-08-01,15,19
2012-09-01,6,19
2012-10-01,15,16
2012-11-01,14,16
2012-12-01,24,24
2013-01-01,8,35
2013-02-01,7,38
2013-03-01,9,26
2013-04-01,15,25
2013-05-01,6,25
2013-06-01,7,48
2013-07-01,7,37
2013-08-01,19,38
2013-09-01,9,25
2013-10-01,13,28
2013-11-01,9,25
2013-12-01,10,41
2014-01-01,6,40
2014-02-01,11,38
2014-03-01,12,36
2014-04-01,10,44
2014-05-01,8,36
2014-06-01,8,41
2014-07-01,19,50
2014-08-01,12,45
2014-09-01,6,37
2014-10-01,5,37
2014-11-01,7,44
2014-12-01,8,55
2015-01-01,7,60
2015-02-01,7,48
2015-03-01,7,55
2015-04-01,8,60
2015-05-01,11,48
2015-06-01,9,53
2015-07-01,11,78
2015-08-01,11,67
2015-09-01,10,60
2015-10-01,9,54
2015-11-01,9,52
2015-12-01,10,57
2016-01-01,9,77
2016-02-01,9,66
2016-03-01,9,82
2016-04-01,10,65
2016-05-01,10,69
2016-06-01,10,81
2016-07-01,10,89
2016-08-01,10,72
2016-09-01,12,56
2016-10-01,8,67
2016-11-01,6,75
2016-12-01,6,87
2017-01-01,10,89
